Address;USB0::0x0957::0x1724::MY45003122::0::INSTR;
Model;DSO6014A;
Serial Number:;MY45003122;
Firmware Version;06.20.0000;
Start Time;2017-08-17 21:39:37.876;
Stop Time;2017-08-17 22:32:24.377;
Sample Period;0,5;
;;
Time (s);RMS(1) ();RMS(2) ()
2017-08-17 21:39:37.876;222,7;0,1825
2017-08-17 21:39:38.377;222,7;0,1818
2017-08-17 21:39:38.877;222,7;0,1817
2017-08-17 21:39:39.378;222,7;0,1816
2017-08-17 21:39:39.878;222,8;0,1851
2017-08-17 21:39:40.377;222,6;0,1822
2017-08-17 21:39:40.877;222,7;0,182
2017-08-17 21:39:41.377;222,5;0,187
2017-08-17 21:39:41.877;222,7;0,1853
2017-08-17 21:39:42.376;222,9;0,1825
2017-08-17 21:39:42.876;222,6;0,1891
2017-08-17 21:39:43.376;223;0,1807
2017-08-17 21:39:43.876;222,7;0,1812
2017-08-17 21:39:44.377;222,7;0,2205
2017-08-17 21:39:44.878;222,6;0,1802
2017-08-17 21:39:45.377;222,8;0,1806
2017-08-17 21:39:45.876;222,6;0,1811
2017-08-17 21:39:46.376;222,7;0,1804
2017-08-17 21:39:46.876;222,7;0,1803
2017-08-17 21:39:47.376;223;0,194
2017-08-17 21:39:47.876;222,6;0,1812
2017-08-17 21:39:48.376;222,5;0,1815
2017-08-17 21:39:48.876;222,6;0,1813
2017-08-17 21:39:49.376;222,4;0,1825
2017-08-17 21:39:49.876;222,6;0,1817
2017-08-17 21:39:50.378;222,5;0,1937
2017-08-17 21:39:50.878;222,5;0,1828
2017-08-17 21:39:51.376;222,6;0,1819
2017-08-17 21:39:51.876;222,8;0,1818
2017-08-17 21:39:52.376;222,4;0,1823
2017-08-17 21:39:52.876;222,6;0,1827
2017-08-17 21:39:53.376;222,5;0,1929
2017-08-17 21:39:53.876;222,2;0,182
2017-08-17 21:39:54.376;222,5;0,1812
2017-08-17 21:39:54.876;222,3;0,1828
2017-08-17 21:39:55.376;222,3;0,1822
2017-08-17 21:39:55.877;222,5;0,2838
2017-08-17 21:39:56.377;222,3;0,1825
2017-08-17 21:39:56.880;222,5;0,1808
2017-08-17 21:39:57.378;222,4;0,1813
2017-08-17 21:39:57.877;222,5;0,18
2017-08-17 21:39:58.376;222,5;0,1809
2017-08-17 21:39:58.876;222,5;0,181
2017-08-17 21:39:59.376;222,6;0,1813
2017-08-17 21:39:59.876;222,5;0,1806
2017-08-17 21:40:00.376;222,3;0,18
2017-08-17 21:40:00.876;222,5;0,1811
2017-08-17 21:40:01.376;222,5;0,1799
2017-08-17 21:40:01.876;222,4;0,1818
2017-08-17 21:40:02.376;222,5;0,1812
2017-08-17 21:40:02.876;222,4;0,1808
2017-08-17 21:40:03.376;222,2;0,1811
2017-08-17 21:40:03.876;222,5;0,1822
2017-08-17 21:40:04.376;222,4;0,1821
2017-08-17 21:40:04.876;222,3;0,1818
2017-08-17 21:40:05.376;222,6;0,1816
2017-08-17 21:40:05.876;222,5;0,1821
2017-08-17 21:40:06.376;222,4;0,1824
2017-08-17 21:40:06.876;222,2;0,1809
2017-08-17 21:40:07.376;222,4;0,1814
2017-08-17 21:40:07.876;222,4;0,1822
2017-08-17 21:40:08.376;222,7;0,1821
2017-08-17 21:40:08.878;222,4;0,1815
2017-08-17 21:40:09.377;222,8;0,1805
2017-08-17 21:40:09.876;222,3;0,1815
2017-08-17 21:40:10.376;222,5;0,1812
2017-08-17 21:40:10.876;222,5;0,1816
2017-08-17 21:40:11.376;222,7;0,181
2017-08-17 21:40:11.876;222,4;0,182
2017-08-17 21:40:12.376;222,6;0,1803
2017-08-17 21:40:12.876;222,7;0,1797
2017-08-17 21:40:13.377;222,4;0,1809
2017-08-17 21:40:13.877;222,4;0,1809
2017-08-17 21:40:14.377;223;0,1811
2017-08-17 21:40:14.877;222,4;0,1812
2017-08-17 21:40:15.377;222,6;0,1807
2017-08-17 21:40:15.876;222,6;0,1809
2017-08-17 21:40:16.376;222,5;0,1799
2017-08-17 21:40:16.876;222,8;0,181
2017-08-17 21:40:17.376;222,8;0,1801
2017-08-17 21:40:17.876;222,6;0,1809
2017-08-17 21:40:18.376;222,7;0,1811
2017-08-17 21:40:18.876;222,9;0,1808
2017-08-17 21:40:19.376;222,7;0,1801
2017-08-17 21:40:19.876;222,7;0,1806
2017-08-17 21:40:20.376;222,5;0,1812
2017-08-17 21:40:20.876;222,6;0,1814
2017-08-17 21:40:21.376;222,9;0,1929
2017-08-17 21:40:21.876;222,8;0,1803
2017-08-17 21:40:22.376;222,7;0,1821
2017-08-17 21:40:22.876;222,7;0,1818
2017-08-17 21:40:23.376;222,5;0,1807
2017-08-17 21:40:23.876;222,3;0,1807
2017-08-17 21:40:24.376;222,7;0,181
2017-08-17 21:40:24.876;222,5;0,1811
2017-08-17 21:40:25.376;222,8;0,1812
2017-08-17 21:40:25.876;222,5;0,1798
2017-08-17 21:40:26.376;222,6;0,1803
2017-08-17 21:40:26.876;222,4;0,1817
2017-08-17 21:40:27.376;222,6;0,1803
2017-08-17 21:40:27.876;222,5;0,1818
2017-08-17 21:40:28.376;222,6;0,1825
2017-08-17 21:40:28.876;222,8;0,1807
2017-08-17 21:40:29.376;222,5;0,1807
2017-08-17 21:40:29.876;222,7;0,1813
2017-08-17 21:40:30.376;222,7;0,18
2017-08-17 21:40:30.877;222,6;0,1808
2017-08-17 21:40:31.377;222,6;0,1806
2017-08-17 21:40:31.877;222,6;0,1812
2017-08-17 21:40:32.378;222,4;0,1806
2017-08-17 21:40:32.878;222,4;0,1804
2017-08-17 21:40:33.378;222,5;0,1809
2017-08-17 21:40:33.877;222,7;0,182
2017-08-17 21:40:34.377;222,5;0,1805
2017-08-17 21:40:34.876;222,8;0,1811
2017-08-17 21:40:35.376;222,6;0,1803
2017-08-17 21:40:35.876;222,2;0,1799
2017-08-17 21:40:36.376;222,4;0,1814
2017-08-17 21:40:36.876;222,8;0,181
2017-08-17 21:40:37.376;222,6;0,1809
2017-08-17 21:40:37.876;222,3;0,1814
2017-08-17 21:40:38.377;222,6;0,1789
2017-08-17 21:40:38.877;222,6;0,1796
2017-08-17 21:40:39.376;222,7;0,1797
2017-08-17 21:40:39.876;222,7;0,1802
2017-08-17 21:40:40.376;222,8;0,1801
2017-08-17 21:40:40.876;222,8;0,1936
2017-08-17 21:40:41.376;222,5;0,1816
2017-08-17 21:40:41.876;222,7;0,1823
2017-08-17 21:40:42.376;222,4;0,1811
2017-08-17 21:40:42.876;222,6;0,182
2017-08-17 21:40:43.376;222,4;0,1803
2017-08-17 21:40:43.879;222,7;0,1941
2017-08-17 21:40:44.377;222,4;0,1812
2017-08-17 21:40:44.876;222,4;0,183
2017-08-17 21:40:45.376;222,6;0,1813
2017-08-17 21:40:45.876;222,7;0,1821
2017-08-17 21:40:46.378;222,7;0,1829
2017-08-17 21:40:46.876;222,4;0,194
2017-08-17 21:40:47.376;222,5;0,1814
2017-08-17 21:40:47.876;222,6;0,1872
2017-08-17 21:40:48.377;222,6;0,1824
2017-08-17 21:40:48.877;222,6;0,1865
2017-08-17 21:40:49.377;222,9;0,182
2017-08-17 21:40:49.877;222,6;0,1988
2017-08-17 21:40:50.377;222,5;0,1816
2017-08-17 21:40:50.876;222,5;0,1892
2017-08-17 21:40:51.376;222,3;0,1804
2017-08-17 21:40:51.876;222,4;0,1851
2017-08-17 21:40:52.376;222,6;0,1805
2017-08-17 21:40:52.876;222,6;0,1848
2017-08-17 21:40:53.376;222,8;0,1817
2017-08-17 21:40:53.876;222,6;0,1841
2017-08-17 21:40:54.376;222,3;0,182
2017-08-17 21:40:54.876;222,3;0,1829
2017-08-17 21:40:55.376;222,1;0,1813
2017-08-17 21:40:55.876;222,5;0,183
2017-08-17 21:40:56.377;222,4;0,1816
2017-08-17 21:40:56.877;222,4;0,1815
2017-08-17 21:40:57.376;222,1;0,1822
2017-08-17 21:40:57.876;222,4;0,1814
2017-08-17 21:40:58.376;222,5;0,1815
2017-08-17 21:40:58.876;222,6;0,1876
2017-08-17 21:40:59.376;222,6;0,1866
2017-08-17 21:40:59.876;222,6;0,1868
2017-08-17 21:41:00.376;222,3;0,1866
2017-08-17 21:41:00.876;222,1;0,1865
2017-08-17 21:41:01.376;222,4;0,1867
2017-08-17 21:41:01.877;222,3;0,1866
2017-08-17 21:41:02.378;222,3;0,186
2017-08-17 21:41:02.877;222,5;0,1865
2017-08-17 21:41:03.376;222,7;0,1872
2017-08-17 21:41:03.876;222,6;0,1866
2017-08-17 21:41:04.376;222,7;0,1864
2017-08-17 21:41:04.876;222,7;0,1865
2017-08-17 21:41:05.376;222,5;0,1863
2017-08-17 21:41:05.877;222,5;0,1866
2017-08-17 21:41:06.377;222,5;0,1862
2017-08-17 21:41:06.877;222,7;0,1869
2017-08-17 21:41:07.377;222,3;0,186
2017-08-17 21:41:07.877;222,8;0,1862
2017-08-17 21:41:08.376;222,4;0,1862
2017-08-17 21:41:08.876;222,4;0,185
2017-08-17 21:41:09.376;222,5;0,1842
2017-08-17 21:41:09.876;222,5;0,1854
2017-08-17 21:41:10.376;222,7;0,186
2017-08-17 21:41:10.876;222,6;0,186
2017-08-17 21:41:11.376;222,6;0,1858
2017-08-17 21:41:11.876;222,6;0,1851
2017-08-17 21:41:12.376;222,7;0,1857
2017-08-17 21:41:12.876;222,6;0,184
2017-08-17 21:41:13.376;222,4;0,1856
2017-08-17 21:41:13.876;222,6;0,1849
2017-08-17 21:41:14.376;222,5;0,1852
2017-08-17 21:41:14.876;222,8;0,1839
2017-08-17 21:41:15.376;222,5;0,1853
2017-08-17 21:41:15.876;222,6;0,1851
2017-08-17 21:41:16.376;222,5;0,1848
2017-08-17 21:41:16.876;222,5;0,1851
2017-08-17 21:41:17.376;222,6;0,1834
2017-08-17 21:41:17.876;222,8;0,1841
2017-08-17 21:41:18.376;222,8;0,1848
2017-08-17 21:41:18.876;222,5;0,1853
2017-08-17 21:41:19.376;222,5;0,1854
2017-08-17 21:41:19.878;222,5;0,1836
