Address;USB0::0x0957::0x1724::MY45003122::0::INSTR;
Model;DSO6014A;
Serial Number:;MY45003122;
Firmware Version;06.20.0000;
Start Time;2017-08-16 15:56:09.316;
Stop Time;2017-08-16 16:43:34.816;
Sample Period;0,5;
;;
Time (s);RMS(1) ();RMS(2) ()
2017-08-16 15:56:09.316;221,4;0,1741
2017-08-16 15:56:09.817;221,3;0,1744
2017-08-16 15:56:10.316;221,4;0,1744
2017-08-16 15:56:10.816;221,5;0,1743
2017-08-16 15:56:11.316;221,4;0,1739
2017-08-16 15:56:11.816;221;0,1741
2017-08-16 15:56:12.316;221,5;0,1736
2017-08-16 15:56:12.816;221,2;0,1744
2017-08-16 15:56:13.316;221,1;0,1733
2017-08-16 15:56:13.815;221,4;0,1796
2017-08-16 15:56:14.315;221,1;0,1744
2017-08-16 15:56:14.815;221,2;0,1728
2017-08-16 15:56:15.315;221,3;0,1738
2017-08-16 15:56:15.815;221,5;0,1734
2017-08-16 15:56:16.315;221,3;0,1745
2017-08-16 15:56:16.815;221,2;0,1737
2017-08-16 15:56:17.315;221,2;0,1729
2017-08-16 15:56:17.815;221,1;0,1739
2017-08-16 15:56:18.315;221,1;0,1735
2017-08-16 15:56:18.815;221,4;0,1724
2017-08-16 15:56:19.316;221,4;0,1727
2017-08-16 15:56:19.816;221,1;0,1736
2017-08-16 15:56:20.316;221,5;0,1732
2017-08-16 15:56:20.816;221,1;0,173
2017-08-16 15:56:21.316;221,2;0,1726
2017-08-16 15:56:21.816;221,4;0,174
2017-08-16 15:56:22.316;221,2;0,1735
2017-08-16 15:56:22.816;221,2;0,1741
2017-08-16 15:56:23.316;221,3;0,1795
2017-08-16 15:56:23.816;221,3;0,1737
2017-08-16 15:56:24.316;221;0,174
2017-08-16 15:56:24.816;221,3;0,1737
2017-08-16 15:56:25.316;221,3;0,1756
2017-08-16 15:56:25.816;221;0,2165
2017-08-16 15:56:26.316;221,3;0,1889
2017-08-16 15:56:26.816;221;0,1926
2017-08-16 15:56:27.316;221,3;0,1861
2017-08-16 15:56:27.816;221,2;0,1885
2017-08-16 15:56:28.316;221;0,1956
2017-08-16 15:56:28.816;221,2;0,1885
2017-08-16 15:56:29.316;221,3;0,1884
2017-08-16 15:56:29.816;221,1;0,1917
2017-08-16 15:56:30.316;221,3;0,1907
2017-08-16 15:56:30.816;221,1;0,1909
2017-08-16 15:56:31.315;221,2;0,1863
2017-08-16 15:56:31.815;221,3;0,1881
2017-08-16 15:56:32.315;221,1;0,1741
2017-08-16 15:56:32.815;221,1;0,1735
2017-08-16 15:56:33.315;221;0,1802
2017-08-16 15:56:33.815;221,2;0,1734
2017-08-16 15:56:34.315;221,1;0,1734
2017-08-16 15:56:34.815;221;0,1779
2017-08-16 15:56:35.315;220,7;0,1735
2017-08-16 15:56:35.815;221,2;0,1755
2017-08-16 15:56:36.315;221,2;0,1746
2017-08-16 15:56:36.816;221;0,1733
2017-08-16 15:56:37.316;221,4;0,1733
2017-08-16 15:56:37.816;221,1;0,1732
2017-08-16 15:56:38.316;221;0,1739
2017-08-16 15:56:38.816;221,1;0,1751
2017-08-16 15:56:39.316;221;0,1735
2017-08-16 15:56:39.816;221,2;0,1737
2017-08-16 15:56:40.316;221,2;0,174
2017-08-16 15:56:40.816;221,1;0,1732
2017-08-16 15:56:41.316;221,3;0,1737
2017-08-16 15:56:41.816;221,1;0,1741
2017-08-16 15:56:42.316;221;0,1744
2017-08-16 15:56:42.816;221,3;0,1738
2017-08-16 15:56:43.316;221;0,1741
2017-08-16 15:56:43.816;221,1;0,1735
2017-08-16 15:56:44.316;221,3;0,1741
2017-08-16 15:56:44.816;221,3;0,1736
2017-08-16 15:56:45.316;221,3;0,1742
2017-08-16 15:56:45.816;221,4;0,1733
2017-08-16 15:56:46.316;221,4;0,173
2017-08-16 15:56:46.816;221,3;0,1735
2017-08-16 15:56:47.316;221,2;0,1745
2017-08-16 15:56:47.816;221,3;0,1737
2017-08-16 15:56:48.316;221,4;0,1733
2017-08-16 15:56:48.815;221,3;0,1741
2017-08-16 15:56:49.315;221;0,1725
2017-08-16 15:56:49.815;221,2;0,1741
2017-08-16 15:56:50.315;221,1;0,173
2017-08-16 15:56:50.815;221;0,1733
2017-08-16 15:56:51.315;220,9;0,1742
2017-08-16 15:56:51.815;220,9;0,1732
2017-08-16 15:56:52.315;221,2;0,1738
2017-08-16 15:56:52.815;221;0,1736
2017-08-16 15:56:53.315;220,9;0,1733
2017-08-16 15:56:53.815;221;0,1732
2017-08-16 15:56:54.316;220,9;0,1726
2017-08-16 15:56:54.816;220,7;0,174
2017-08-16 15:56:55.316;221,1;0,1746
2017-08-16 15:56:55.816;220,9;0,1744
2017-08-16 15:56:56.316;220,9;0,1729
2017-08-16 15:56:56.816;220,9;0,1724
2017-08-16 15:56:57.316;221,1;0,1734
2017-08-16 15:56:57.816;220,9;0,1729
2017-08-16 15:56:58.316;221,1;0,1746
2017-08-16 15:56:58.816;220,8;0,1732
2017-08-16 15:56:59.316;220,8;0,1735
2017-08-16 15:56:59.816;220,9;0,1731
2017-08-16 15:57:00.316;221,1;0,1733
2017-08-16 15:57:00.816;221,1;0,1732
2017-08-16 15:57:01.316;221,1;0,1803
2017-08-16 15:57:01.816;220,8;0,1743
2017-08-16 15:57:02.316;220,9;0,1734
2017-08-16 15:57:02.816;221;0,1738
2017-08-16 15:57:03.316;220,9;0,174
2017-08-16 15:57:03.816;220,9;0,1738
2017-08-16 15:57:04.316;221,1;0,1738
2017-08-16 15:57:04.816;221;0,1739
2017-08-16 15:57:05.316;220,8;0,1727
2017-08-16 15:57:05.816;220,9;0,1738
2017-08-16 15:57:06.315;220,7;0,1739
2017-08-16 15:57:06.815;220,9;0,1741
2017-08-16 15:57:07.315;221;0,1727
2017-08-16 15:57:07.815;220,7;0,1727
2017-08-16 15:57:08.315;221;0,1741
2017-08-16 15:57:08.815;221,1;0,1743
2017-08-16 15:57:09.315;221,1;0,1738
2017-08-16 15:57:09.815;221,4;0,1734
2017-08-16 15:57:10.315;221,1;0,1738
2017-08-16 15:57:10.815;220,9;0,1741
2017-08-16 15:57:11.315;220,8;0,1745
2017-08-16 15:57:11.816;221,2;0,186
2017-08-16 15:57:12.316;221,2;0,1834
2017-08-16 15:57:12.816;220,8;0,1761
2017-08-16 15:57:13.316;221;0,1757
2017-08-16 15:57:13.816;220,7;0,1741
2017-08-16 15:57:14.316;221,1;0,1736
2017-08-16 15:57:14.817;221,3;0,1752
2017-08-16 15:57:15.317;221,2;0,1831
2017-08-16 15:57:15.816;221,3;0,1746
2017-08-16 15:57:16.316;221,3;0,1734
2017-08-16 15:57:16.816;221,3;0,174
2017-08-16 15:57:17.316;221,6;0,1748
2017-08-16 15:57:17.816;221,7;0,1761
2017-08-16 15:57:18.316;221,4;0,174
2017-08-16 15:57:18.816;221,3;0,1738
2017-08-16 15:57:19.316;221,5;0,1729
2017-08-16 15:57:19.816;221,1;0,18
2017-08-16 15:57:20.316;221,1;0,1742
2017-08-16 15:57:20.816;221,3;0,1741
2017-08-16 15:57:21.316;221,4;0,1749
2017-08-16 15:57:21.816;221,4;0,1741
2017-08-16 15:57:22.315;221,4;0,1742
2017-08-16 15:57:22.815;221,1;0,1768
2017-08-16 15:57:23.315;221,2;0,1745
2017-08-16 15:57:23.815;221,2;0,1744
2017-08-16 15:57:24.315;221,4;0,1742
2017-08-16 15:57:24.815;221,7;0,1738
2017-08-16 15:57:25.315;221,4;0,1736
2017-08-16 15:57:25.815;221,3;0,177
2017-08-16 15:57:26.315;221,3;0,1755
2017-08-16 15:57:26.815;221,4;0,1738
2017-08-16 15:57:27.315;221,4;0,1752
2017-08-16 15:57:27.815;221,5;0,1739
2017-08-16 15:57:28.315;221,5;0,1732
2017-08-16 15:57:28.815;221,4;0,1753
2017-08-16 15:57:29.316;221,7;0,1753
2017-08-16 15:57:29.816;221,4;0,1747
2017-08-16 15:57:30.316;221,6;0,1745
2017-08-16 15:57:30.816;221,3;0,1737
2017-08-16 15:57:31.316;221,4;0,1736
2017-08-16 15:57:31.816;221,5;0,1738
2017-08-16 15:57:32.316;221,6;0,1748
2017-08-16 15:57:32.816;221,6;0,1734
2017-08-16 15:57:33.316;221,4;0,1748
2017-08-16 15:57:33.816;221,3;0,1749
2017-08-16 15:57:34.316;220,6;0,173
2017-08-16 15:57:34.816;219,1;0,1741
2017-08-16 15:57:35.316;219,3;0,1734
2017-08-16 15:57:35.816;219,2;0,1746
2017-08-16 15:57:36.316;219,3;0,1748
2017-08-16 15:57:36.816;219,3;0,1733
2017-08-16 15:57:37.316;219,4;0,1735
2017-08-16 15:57:37.816;219,2;0,175
2017-08-16 15:57:38.316;219,3;0,1744
2017-08-16 15:57:38.818;219,4;0,1732
2017-08-16 15:57:39.317;219,7;0,1747
2017-08-16 15:57:39.816;219,2;0,1748
2017-08-16 15:57:40.316;221,4;0,1739
2017-08-16 15:57:40.816;221,3;0,1732
2017-08-16 15:57:41.315;221,4;0,1742
2017-08-16 15:57:41.815;221,4;0,1752
2017-08-16 15:57:42.315;221,4;0,1755
2017-08-16 15:57:42.815;221,3;0,1742
2017-08-16 15:57:43.315;221,4;0,1735
2017-08-16 15:57:43.816;221,2;0,1743
2017-08-16 15:57:44.316;221,4;0,174
2017-08-16 15:57:44.815;221,6;0,1734
2017-08-16 15:57:45.315;221,6;0,1739
2017-08-16 15:57:45.815;221,2;0,1708
2017-08-16 15:57:46.315;221,1;0,1726
2017-08-16 15:57:46.816;221,1;0,1739
2017-08-16 15:57:47.316;221,1;0,1735
2017-08-16 15:57:47.816;221,5;0,1732
2017-08-16 15:57:48.316;221,7;0,1735
2017-08-16 15:57:48.816;221,2;0,1731
2017-08-16 15:57:49.316;221,1;0,1737
2017-08-16 15:57:49.816;221,8;0,1734
2017-08-16 15:57:50.316;221,7;0,1749
2017-08-16 15:57:50.816;221,3;0,1739
2017-08-16 15:57:51.316;221,6;0,1736
2017-08-16 15:57:51.816;221,7;0,1751
