equipment;device;operation;reqsize;cache;repetition;measurement;freq0;freq1;freq2;freq3;freq4;freq5;freq6;freq7
pc;hdd1;write;4096;0;5;0;2000;1000;2000;1000;2000;2000;2000;1000
pc;hdd1;write;4096;0;5;1;3000;2000;3000;1000;3000;2000;3000;1000
pc;hdd1;write;4096;0;5;2;3000;3000;3000;3000;3000;2000;3000;3000
pc;hdd1;write;4096;0;5;3;3000;3000;3000;1000;3000;3000;3000;3000
pc;hdd1;write;4096;0;5;4;2000;2000;3000;2000;2000;1000;1000;2000
pc;hdd1;write;4096;0;5;5;2000;2000;3000;3000;3000;3000;2000;2000
pc;hdd1;write;4096;0;5;6;3000;3000;2000;3000;3000;2000;3000;3000
pc;hdd1;write;4096;0;5;7;3000;3000;2000;2000;3000;3000;3000;3000
pc;hdd1;write;4096;0;5;8;2000;2000;2000;2000;2000;2000;3000;3000
pc;hdd1;write;4096;0;5;9;2000;3000;2000;2000;3000;2000;2000;2000
pc;hdd1;write;4096;0;5;10;2000;3000;2000;3000;3000;3000;3000;2000
pc;hdd1;write;4096;0;5;11;2000;3000;2000;2000;3000;3000;2000;3000
pc;hdd1;write;4096;0;5;12;1000;940;1000;2000;1000;2000;827;1000
pc;hdd1;write;4096;0;5;13;2000;3000;2000;2000;2000;2000;3000;3000
pc;hdd1;write;4096;0;5;14;1000;2000;1000;2000;817;1000;1000;3000
pc;hdd1;write;4096;0;5;15;1000;3000;1000;2000;1000;1000;1000;2000
pc;hdd1;write;4096;0;5;16;1000;3000;2000;1000;2000;819;3000;2000
pc;hdd1;write;4096;0;5;17;2000;2000;1000;3000;2000;2000;867;2000
pc;hdd1;write;4096;0;5;18;2000;3000;3000;3000;3000;3000;3000;3000
pc;hdd1;write;4096;0;5;19;2000;2000;2000;2000;2000;3000;3000;3000
pc;hdd1;write;4096;0;5;20;1000;1000;1000;1000;996;1000;1000;1000
pc;hdd1;write;4096;0;5;21;2000;3000;2000;3000;2000;3000;3000;1000
pc;hdd1;write;4096;0;5;22;2000;900;2000;894;2000;826;2000;2000
pc;hdd1;write;4096;0;5;23;2000;3000;2000;1000;1000;1000;1000;839
pc;hdd1;write;4096;0;5;24;1000;1000;1000;3000;2000;1000;2000;1000
pc;hdd1;write;4096;0;5;25;876;809;1000;816;1000;2000;904;1000
pc;hdd1;write;4096;0;5;26;1000;1000;882;1000;1000;1000;1000;1000
pc;hdd1;write;4096;0;5;27;3000;1000;3000;3000;3000;3000;2000;1000
pc;hdd1;write;4096;0;5;28;2000;3000;1000;2000;2000;2000;1000;3000
pc;hdd1;write;4096;0;5;29;1000;2000;967;2000;1000;2000;1000;3000
pc;hdd1;write;4096;0;5;30;2000;1000;3000;3000;2000;1000;3000;1000
pc;hdd1;write;4096;0;5;31;1000;1000;1000;3000;3000;3000;2000;2000
pc;hdd1;write;4096;0;5;32;1000;1000;1000;1000;1000;2000;1000;2000
pc;hdd1;write;4096;0;5;33;2000;2000;2000;3000;3000;1000;2000;2000
