equipment;device;operation;reqsize;cache;repetition;measurement;freq0;freq1;freq2;freq3;freq4;freq5;freq6;freq7
pc;ssd2;write;32;0;1;0;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;1;3000;3000;2000;3000;3000;3000;3000;2000
pc;ssd2;write;32;0;1;2;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;3;2000;3000;2000;3000;3000;2000;3000;3000
pc;ssd2;write;32;0;1;4;3000;3000;2000;3000;3000;2000;3000;3000
pc;ssd2;write;32;0;1;5;3000;3000;2000;3000;3000;2000;3000;3000
pc;ssd2;write;32;0;1;6;3000;3000;3000;3000;3000;2000;3000;3000
pc;ssd2;write;32;0;1;7;3000;3000;2000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;8;2000;3000;2000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;9;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;10;812;911;800;3000;3000;832;2000;1000
pc;ssd2;write;32;0;1;11;2000;3000;3000;2000;3000;2000;2000;3000
pc;ssd2;write;32;0;1;12;2000;3000;3000;2000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;13;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;14;3000;3000;3000;3000;3000;2000;3000;3000
pc;ssd2;write;32;0;1;15;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;16;2000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;17;3000;3000;2000;3000;3000;2000;3000;3000
pc;ssd2;write;32;0;1;18;3000;3000;3000;3000;3000;2000;3000;3000
pc;ssd2;write;32;0;1;19;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;20;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;21;3000;3000;2000;3000;3000;2000;3000;3000
pc;ssd2;write;32;0;1;22;3000;2000;3000;3000;3000;3000;2000;3000
pc;ssd2;write;32;0;1;23;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;24;3000;3000;3000;3000;3000;3000;3000;2000
pc;ssd2;write;32;0;1;25;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;26;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;27;3000;3000;3000;2000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;28;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;29;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;30;3000;3000;2000;2000;3000;3000;2000;3000
pc;ssd2;write;32;0;1;31;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;32;3000;3000;3000;3000;3000;2000;3000;2000
pc;ssd2;write;32;0;1;33;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;34;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;35;3000;3000;899;2000;2000;3000;3000;3000
pc;ssd2;write;32;0;1;36;2000;2000;2000;2000;1000;1000;1000;2000
pc;ssd2;write;32;0;1;37;3000;3000;2000;2000;2000;3000;3000;3000
pc;ssd2;write;32;0;1;38;3000;3000;3000;3000;2000;3000;3000;3000
pc;ssd2;write;32;0;1;39;3000;2000;988;3000;3000;3000;1000;2000
pc;ssd2;write;32;0;1;40;2000;2000;1000;2000;1000;3000;2000;3000
pc;ssd2;write;32;0;1;41;3000;3000;3000;3000;3000;1000;3000;3000
pc;ssd2;write;32;0;1;42;3000;3000;1000;3000;2000;3000;3000;2000
pc;ssd2;write;32;0;1;43;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;44;1000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;45;3000;3000;2000;3000;3000;3000;2000;3000
pc;ssd2;write;32;0;1;46;3000;3000;3000;3000;3000;3000;3000;3000
pc;ssd2;write;32;0;1;47;3000;3000;3000;2000;3000;3000;3000;3000
