equipment;device;operation;reqsize;cache;repetition;measurement;rms1;rms2
PC;HDD1;write;4096;0;5;0;222.8;0.1807
PC;HDD1;write;4096;0;5;1;222.9;0.1824
PC;HDD1;write;4096;0;5;2;222.6;0.1807
PC;HDD1;write;4096;0;5;3;222.5;0.2177
PC;HDD1;write;4096;0;5;4;222.7;0.2673
PC;HDD1;write;4096;0;5;5;222.9;0.1969
PC;HDD1;write;4096;0;5;6;222.6;0.1874
PC;HDD1;write;4096;0;5;7;222.6;0.1885
PC;HDD1;write;4096;0;5;8;222.8;0.1896
PC;HDD1;write;4096;0;5;9;222.3;0.1884
PC;HDD1;write;4096;0;5;10;222.8;0.1886
PC;HDD1;write;4096;0;5;11;222.7;0.1942
PC;HDD1;write;4096;0;5;12;222.7;0.1889
PC;HDD1;write;4096;0;5;13;222.8;0.1891
PC;HDD1;write;4096;0;5;14;222.5;0.188
PC;HDD1;write;4096;0;5;15;222.6;0.1904
PC;HDD1;write;4096;0;5;16;222.8;0.1903
PC;HDD1;write;4096;0;5;17;222.6;0.1919
PC;HDD1;write;4096;0;5;18;222.8;0.1884
PC;HDD1;write;4096;0;5;19;222.5;0.1887
PC;HDD1;write;4096;0;5;20;222.6;0.1884
PC;HDD1;write;4096;0;5;21;222.7;0.1896
PC;HDD1;write;4096;0;5;22;222.4;0.1882
PC;HDD1;write;4096;0;5;23;222.8;0.1866
PC;HDD1;write;4096;0;5;24;222.5;0.1895
PC;HDD1;write;4096;0;5;25;223.2;0.1885
PC;HDD1;write;4096;0;5;26;222.7;0.1898
PC;HDD1;write;4096;0;5;27;222.7;0.1891
PC;HDD1;write;4096;0;5;28;222.6;0.1882
PC;HDD1;write;4096;0;5;29;222.4;0.1882
PC;HDD1;write;4096;0;5;30;222.6;0.1896
PC;HDD1;write;4096;0;5;31;222.6;0.1885
PC;HDD1;write;4096;0;5;32;222.8;0.1874
PC;HDD1;write;4096;0;5;33;222.6;0.1879
PC;HDD1;write;4096;0;5;34;222.6;0.188
PC;HDD1;write;4096;0;5;35;222.7;0.1882
PC;HDD1;write;4096;0;5;36;222.8;0.1875
PC;HDD1;write;4096;0;5;37;222.6;0.1892
PC;HDD1;write;4096;0;5;38;222.9;0.1882
PC;HDD1;write;4096;0;5;39;222.7;0.1894
PC;HDD1;write;4096;0;5;40;222.7;0.1873
PC;HDD1;write;4096;0;5;41;222.7;0.1864
PC;HDD1;write;4096;0;5;42;222.7;0.1885
PC;HDD1;write;4096;0;5;43;222.5;0.1874
PC;HDD1;write;4096;0;5;44;222.6;0.19
PC;HDD1;write;4096;0;5;45;222.9;0.1886
PC;HDD1;write;4096;0;5;46;222.9;0.1879
PC;HDD1;write;4096;0;5;47;222.8;0.1869
PC;HDD1;write;4096;0;5;48;222.9;0.1872
PC;HDD1;write;4096;0;5;49;222.8;0.1849
PC;HDD1;write;4096;0;5;50;222.5;0.1878
PC;HDD1;write;4096;0;5;51;223.0;0.1886
PC;HDD1;write;4096;0;5;52;222.8;0.1895
PC;HDD1;write;4096;0;5;53;222.6;0.1866
PC;HDD1;write;4096;0;5;54;222.4;0.1887
PC;HDD1;write;4096;0;5;55;222.5;0.1879
PC;HDD1;write;4096;0;5;56;222.6;0.1887
PC;HDD1;write;4096;0;5;57;222.8;0.1876
PC;HDD1;write;4096;0;5;58;222.7;0.1888
PC;HDD1;write;4096;0;5;59;222.9;0.1873
PC;HDD1;write;4096;0;5;60;222.5;0.1878
PC;HDD1;write;4096;0;5;61;222.6;0.1881
PC;HDD1;write;4096;0;5;62;222.4;0.1867
PC;HDD1;write;4096;0;5;63;222.6;0.1901
PC;HDD1;write;4096;0;5;64;222.8;0.1878
PC;HDD1;write;4096;0;5;65;222.8;0.1863
PC;HDD1;write;4096;0;5;66;222.6;0.1897
PC;HDD1;write;4096;0;5;67;222.5;0.1854
PC;HDD1;write;4096;0;5;68;222.7;0.188
PC;HDD1;write;4096;0;5;69;222.7;0.1882
PC;HDD1;write;4096;0;5;70;222.7;0.1883
PC;HDD1;write;4096;0;5;71;222.7;0.1876
PC;HDD1;write;4096;0;5;72;222.8;0.1876
PC;HDD1;write;4096;0;5;73;223.0;0.1889
PC;HDD1;write;4096;0;5;74;222.7;0.1899
PC;HDD1;write;4096;0;5;75;222.8;0.1848
PC;HDD1;write;4096;0;5;76;222.7;0.1869
PC;HDD1;write;4096;0;5;77;222.9;0.1881
PC;HDD1;write;4096;0;5;78;222.8;0.188
PC;HDD1;write;4096;0;5;79;222.9;0.1912
PC;HDD1;write;4096;0;5;80;222.9;0.1861
PC;HDD1;write;4096;0;5;81;223.1;0.188
PC;HDD1;write;4096;0;5;82;222.9;0.1889
PC;HDD1;write;4096;0;5;83;223.0;0.1881
PC;HDD1;write;4096;0;5;84;222.8;0.1865
PC;HDD1;write;4096;0;5;85;222.8;0.1834
PC;HDD1;write;4096;0;5;86;222.8;0.1883
PC;HDD1;write;4096;0;5;87;222.7;0.1887
PC;HDD1;write;4096;0;5;88;223.0;0.1876
PC;HDD1;write;4096;0;5;89;222.8;0.1876
PC;HDD1;write;4096;0;5;90;222.8;0.1881
PC;HDD1;write;4096;0;5;91;222.9;0.1868
PC;HDD1;write;4096;0;5;92;223.0;0.1858
PC;HDD1;write;4096;0;5;93;223.1;0.1877
PC;HDD1;write;4096;0;5;94;223.1;0.1872
PC;HDD1;write;4096;0;5;95;222.7;0.1846
PC;HDD1;write;4096;0;5;96;223.1;0.1901
PC;HDD1;write;4096;0;5;97;223.2;0.1893
PC;HDD1;write;4096;0;5;98;223.0;0.1878
PC;HDD1;write;4096;0;5;99;222.7;0.1875
PC;HDD1;write;4096;0;5;100;222.8;0.188
PC;HDD1;write;4096;0;5;101;222.8;0.1895
PC;HDD1;write;4096;0;5;102;222.6;0.188
PC;HDD1;write;4096;0;5;103;223.2;0.1871
PC;HDD1;write;4096;0;5;104;222.7;0.1883
PC;HDD1;write;4096;0;5;105;222.4;0.1874
PC;HDD1;write;4096;0;5;106;222.8;0.1883
PC;HDD1;write;4096;0;5;107;222.7;0.1878
PC;HDD1;write;4096;0;5;108;223.0;0.1876
PC;HDD1;write;4096;0;5;109;222.9;0.1872
PC;HDD1;write;4096;0;5;110;222.8;0.1878
PC;HDD1;write;4096;0;5;111;222.9;0.1893
PC;HDD1;write;4096;0;5;112;222.6;0.1896
PC;HDD1;write;4096;0;5;113;222.9;0.1861
PC;HDD1;write;4096;0;5;114;222.9;0.1887
PC;HDD1;write;4096;0;5;115;223.0;0.1875
PC;HDD1;write;4096;0;5;116;223.0;0.1906
PC;HDD1;write;4096;0;5;117;222.9;0.1895
PC;HDD1;write;4096;0;5;118;222.8;0.1868
PC;HDD1;write;4096;0;5;119;222.8;0.1876
PC;HDD1;write;4096;0;5;120;222.9;0.1881
PC;HDD1;write;4096;0;5;121;222.5;0.1872
PC;HDD1;read;4096;0;5;0;222.6;0.1813
PC;HDD1;read;4096;0;5;1;222.9;0.1823
PC;HDD1;read;4096;0;5;2;222.7;0.1818
PC;HDD1;read;4096;0;5;3;222.7;0.2829
PC;HDD1;read;4096;0;5;4;223.1;0.1886
PC;HDD1;read;4096;0;5;5;222.9;0.1876
PC;HDD1;read;4096;0;5;6;222.8;0.1893
PC;HDD1;read;4096;0;5;7;222.6;0.1884
PC;HDD1;read;4096;0;5;8;222.7;0.1897
PC;HDD1;read;4096;0;5;9;222.7;0.1857
PC;HDD1;read;4096;0;5;10;222.7;0.1892
PC;HDD1;read;4096;0;5;11;222.8;0.1872
PC;HDD1;read;4096;0;5;12;222.8;0.1897
PC;HDD1;read;4096;0;5;13;222.7;0.1875
PC;HDD1;read;4096;0;5;14;222.5;0.1891
PC;HDD1;read;4096;0;5;15;222.7;0.1879
PC;HDD1;read;4096;0;5;16;222.5;0.1891
PC;HDD1;read;4096;0;5;17;222.7;0.1861
PC;HDD1;read;4096;0;5;18;222.4;0.1895
PC;HDD1;read;4096;0;5;19;222.6;0.1884
PC;HDD1;read;4096;0;5;20;223.0;0.1897
PC;HDD1;read;4096;0;5;21;222.9;0.1891
PC;HDD1;read;4096;0;5;22;222.8;0.1883
PC;HDD1;read;4096;0;5;23;222.9;0.1871
