equipment;device;operation;reqsize;cache;repetition;measurement;rms1;rms2
PC;SSD2;write;32;0;1;0;222.0;0.1773
PC;SSD2;write;32;0;1;1;221.7;0.1747
PC;SSD2;write;32;0;1;2;221.9;0.1745
PC;SSD2;write;32;0;1;3;221.4;0.1753
PC;SSD2;write;32;0;1;4;221.8;0.2629
PC;SSD2;write;32;0;1;5;221.8;0.2437
PC;SSD2;write;32;0;1;6;221.8;0.2586
PC;SSD2;write;32;0;1;7;222.2;0.2249
PC;SSD2;write;32;0;1;8;222.0;0.2457
PC;SSD2;write;32;0;1;9;221.7;0.2481
PC;SSD2;write;32;0;1;10;221.9;0.2452
PC;SSD2;write;32;0;1;11;221.7;0.1885
PC;SSD2;write;32;0;1;12;221.7;0.2519
PC;SSD2;write;32;0;1;13;221.9;0.2454
PC;SSD2;write;32;0;1;14;222.0;0.2476
PC;SSD2;write;32;0;1;15;221.8;0.2465
PC;SSD2;write;32;0;1;16;221.8;0.2416
PC;SSD2;write;32;0;1;17;221.7;0.2382
PC;SSD2;write;32;0;1;18;221.9;0.1888
PC;SSD2;write;32;0;1;19;222.0;0.1855
PC;SSD2;write;32;0;1;20;221.8;0.1845
PC;SSD2;write;32;0;1;21;221.9;0.1829
PC;SSD2;write;32;0;1;22;222.0;0.2456
PC;SSD2;write;32;0;1;23;222.1;0.2436
PC;SSD2;write;32;0;1;24;222.1;0.2192
PC;SSD2;write;32;0;1;25;221.7;0.1907
PC;SSD2;write;32;0;1;26;222.0;0.1839
PC;SSD2;write;32;0;1;27;222.1;0.1843
PC;SSD2;write;32;0;1;28;222.1;0.2357
PC;SSD2;write;32;0;1;29;222.1;0.2439
PC;SSD2;write;32;0;1;30;221.7;0.2419
PC;SSD2;write;32;0;1;31;222.0;0.1852
PC;SSD2;write;32;0;1;32;221.9;0.2304
PC;SSD2;write;32;0;1;33;221.9;0.1953
PC;SSD2;write;32;0;1;34;222.0;0.1839
PC;SSD2;write;32;0;1;35;222.0;0.1839
PC;SSD2;write;32;0;1;36;222.1;0.1845
PC;SSD2;write;32;0;1;37;222.0;0.2251
PC;SSD2;write;32;0;1;38;222.0;0.2467
PC;SSD2;write;32;0;1;39;222.2;0.2409
PC;SSD2;write;32;0;1;40;221.7;0.2413
PC;SSD2;write;32;0;1;41;222.1;0.2446
PC;SSD2;write;32;0;1;42;222.0;0.2209
PC;SSD2;write;32;0;1;43;221.8;0.2469
PC;SSD2;write;32;0;1;44;221.8;0.2224
PC;SSD2;write;32;0;1;45;222.2;0.2467
PC;SSD2;write;32;0;1;46;221.8;0.2446
PC;SSD2;write;32;0;1;47;221.8;0.1883
PC;SSD2;write;32;0;1;48;222.1;0.184
PC;SSD2;write;32;0;1;49;221.8;0.1846
PC;SSD2;write;32;0;1;50;221.8;0.1844
PC;SSD2;write;32;0;1;51;222.1;0.1883
PC;SSD2;write;32;0;1;52;221.8;0.29
PC;SSD2;write;32;0;1;53;222.3;0.2187
