equipment;device;operation;reqsize;cache;repetition;dataamount;bandwidth;tempo
pc;HDD1;read;32;0;1;15445524480.0;257419264.0;60.001
pc;HDD1;read;32;0;2;14785970176.0;246427648.0;60.0
pc;HDD1;read;32;0;3;15199109120.0;253313024.0;60.0
pc;HDD1;read;32;0;4;17615028224.0;293582848.0;60.001
pc;HDD1;read;32;0;5;14769192960.0;246144000.0;60.001
pc;HDD1;read;32;0;6;20208156672.0;336798720.0;60.001
pc;HDD1;read;32;0;7;17505976320.0;291766272.0;60.0
pc;HDD1;read;32;0;8;17165189120.0;286088192.0;60.001
pc;HDD1;read;4096;0;1;20661141504.0;344345600.0;60.001
pc;HDD1;read;4096;0;2;15837691904.0;263956480.0;60.001
pc;HDD1;read;4096;0;3;16550723584.0;275840000.0;60.001
pc;HDD1;read;4096;0;4;17800626176.0;296671232.0;60.001
pc;HDD1;read;4096;0;5;21474836480.0;359260160.0;59.775
pc;HDD1;read;4096;0;6;11412701184.0;190208000.0;60.001
pc;HDD1;read;4096;0;7;16642998272.0;277378048.0;60.001
pc;HDD1;read;4096;0;8;18148753408.0;302473216.0;60.001
pc;HDD1;write;32;0;1;1826724249.6;30454784.0;60.009
pc;HDD1;write;32;0;2;1820118220.8;30331904.0;60.001
pc;HDD1;write;32;0;3;1829765120.0;30494720.0;60.001
pc;HDD1;write;32;0;4;1828926259.2;30480384.0;60.001
pc;HDD1;write;32;0;5;1828297113.6;30468096.0;60.002
pc;HDD1;write;32;0;6;1829135974.4;30478336.0;60.001
pc;HDD1;write;32;0;7;1829660262.4;30492672.0;60.001
pc;HDD1;write;32;0;8;1829135974.4;30484480.0;60.001
pc;HDD1;write;4096;0;1;1832910848.0;30513152.0;60.068
pc;HDD1;write;4096;0;2;1832910848.0;30493696.0;60.107
pc;HDD1;write;4096;0;3;1828716544.0;30475264.0;60.006
pc;HDD1;write;4096;0;4;1828716544.0;30471168.0;60.014
pc;HDD1;write;4096;0;5;1824522240.0;30404608.0;60.007
pc;HDD1;write;4096;0;6;1832910848.0;30490624.0;60.112
pc;HDD1;write;4096;0;7;1837105152.0;30562304.0;60.109
pc;HDD1;write;4096;0;8;1828716544.0;30469120.0;60.018
