equipment;device;operation;reqsize;cache;repetition;dataamount;bandwidth;tempo
pc;SSD2;read;32;0;1;21474836480.0;588545024.0;36.488
pc;SSD2;read;32;0;2;17168334848.0;286128128.0;60.001
pc;SSD2;read;32;0;3;17153654784.0;285890560.0;60.001
pc;SSD2;read;32;0;4;17121148928.0;285344768.0;60.001
pc;SSD2;read;32;0;5;17196646400.0;286606336.0;60.001
pc;SSD2;read;32;0;6;17185112064.0;286410752.0;60.001
pc;SSD2;read;32;0;7;17154703360.0;285903872.0;60.001
pc;SSD2;read;32;0;8;17181966336.0;286352384.0;60.001
pc;SSD2;read;4096;0;1;21474836480.0;638618624.0;33.627
pc;SSD2;read;4096;0;2;21474836480.0;641096704.0;33.497
pc;SSD2;read;4096;0;3;21474836480.0;640657408.0;33.52
pc;SSD2;read;4096;0;4;21474836480.0;639055872.0;33.604
pc;SSD2;read;4096;0;5;21474836480.0;639473664.0;33.582
pc;SSD2;read;4096;0;6;21474836480.0;641364992.0;33.483
pc;SSD2;read;4096;0;7;21474836480.0;637348864.0;33.694
pc;SSD2;read;4096;0;8;21474836480.0;694258688.0;30.932
pc;SSD2;write;32;0;1;10242700083.2;170698752.0;60.004
pc;SSD2;write;32;0;2;17253269504.0;287548416.0;60.001
pc;SSD2;write;32;0;3;17039360000.0;283979776.0;60.001
pc;SSD2;write;32;0;4;17288921088.0;288138240.0;60.001
pc;SSD2;write;32;0;5;17250123776.0;287497216.0;60.001
pc;SSD2;write;32;0;6;17199792128.0;286656512.0;60.001
pc;SSD2;write;32;0;7;17328766976.0;288783360.0;60.005
pc;SSD2;write;32;0;8;16950231040.0;282470400.0;60.007
pc;SSD2;write;4096;0;1;16164847616.0;269373440.0;60.009
pc;SSD2;write;4096;0;2;16148070400.0;269103104.0;60.007
pc;SSD2;write;4096;0;3;15917383680.0;265249792.0;60.009
pc;SSD2;write;4096;0;4;16181624832.0;268609536.0;60.242
pc;SSD2;write;4096;0;5;16294871040.0;271525888.0;60.012
pc;SSD2;write;4096;0;6;16064184320.0;267673600.0;60.014
pc;SSD2;write;4096;0;7;16286482432.0;270583808.0;60.19
pc;SSD2;write;4096;0;8;15900606464.0;265005056.0;60.001
