equipment;repetition;operation;size;bandwidth
PC;0;read;0.131072;20479.22
PC;0;read;0.000512;20393.75
PC;0;read;536.87;15839.24
PC;0;read;0.004096;20936.11
PC;0;read;0.001024;20666.23
PC;0;read;33.55;15245.08
PC;0;read;0.016384;20951.77
PC;0;read;0.008192;21069.81
PC;0;read;0.262144;20392.32
PC;0;read;8589.93;15811.83
PC;0;read;0.524288;20329.34
PC;0;read;2.1;20323.47
PC;0;read;0.032768;20899.18
PC;0;read;1073.74;15844.14
PC;0;read;67.11;15827.56
PC;0;read;4294.97;14460.59
PC;0;read;16.78;16204.65
PC;0;read;0.002048;20858.58
PC;0;read;8.39;18456.78
PC;0;read;1.05;20318.85
PC;0;read;4.19;20323.7
PC;0;read;268.44;15840.64
PC;0;read;134.22;15812.64
PC;0;read;2147.48;15794.39
PC;0;read;0.065536;20481.6
PC;0;write;0.131072;14953.25
PC;0;write;0.000512;15870.14
PC;0;write;536.87;10049.81
PC;0;write;0.004096;15887.76
PC;0;write;0.001024;15898.92
PC;0;write;33.55;10669.14
PC;0;write;0.016384;15842.23
PC;0;write;0.008192;15892.91
PC;0;write;0.262144;14476.76
PC;0;write;8589.93;9707.57
PC;0;write;0.524288;13948.5
PC;0;write;2.1;14009.55
PC;0;write;0.032768;15800.94
PC;0;write;1073.74;10064.51
PC;0;write;67.11;10244.06
PC;0;write;4294.97;9700.02
PC;0;write;16.78;11823.27
PC;0;write;0.002048;15867.52
PC;0;write;8.39;13764.35
PC;0;write;1.05;13899.58
PC;0;write;4.19;13905.39
PC;0;write;268.44;9720.64
PC;0;write;134.22;9654.56
PC;0;write;2147.48;9720.42
PC;0;write;0.065536;14954.52
PC;1;read;0.131072;20189.1
PC;1;read;0.000512;20309.23
PC;1;read;536.87;15841.11
PC;1;read;0.004096;21004.79
PC;1;read;0.001024;20658.47
PC;1;read;33.55;15709.0
PC;1;read;0.016384;20922.43
PC;1;read;0.008192;20997.1
PC;1;read;0.262144;20489.08
PC;1;read;8589.93;15771.97
PC;1;read;0.524288;20314.71
PC;1;read;2.1;20329.74
PC;1;read;0.032768;21025.59
PC;1;read;1073.74;15836.2
PC;1;read;67.11;15123.12
PC;1;read;4294.97;14731.9
PC;1;read;16.78;12865.96
PC;1;read;0.002048;20932.79
PC;1;read;8.39;15551.74
PC;1;read;1.05;17728.09
PC;1;read;4.19;17896.56
PC;1;read;268.44;15824.76
PC;1;read;134.22;13940.35
PC;1;read;2147.48;15582.59
PC;1;read;0.065536;20431.42
PC;1;write;0.131072;15006.83
PC;1;write;0.000512;15891.89
PC;1;write;536.87;9702.19
PC;1;write;0.004096;15955.52
PC;1;write;0.001024;15886.77
PC;1;write;33.55;10637.0
PC;1;write;0.016384;15885.72
PC;1;write;0.008192;15888.64
PC;1;write;0.262144;14495.99
PC;1;write;8589.93;10072.67
PC;1;write;0.524288;13874.58
PC;1;write;2.1;13860.38
PC;1;write;0.032768;15794.27
PC;1;write;1073.74;9729.98
PC;1;write;67.11;10247.19
PC;1;write;4294.97;10056.09
PC;1;write;16.78;11913.52
PC;1;write;0.002048;15826.05
PC;1;write;8.39;13622.78
PC;1;write;1.05;13861.42
PC;1;write;4.19;13877.61
PC;1;write;268.44;9687.66
PC;1;write;134.22;9743.57
PC;1;write;2147.48;9697.46
PC;1;write;0.065536;14947.85
PC;2;read;0.131072;20535.51
PC;2;read;0.000512;20313.32
PC;2;read;536.87;11931.79
PC;2;read;0.004096;21024.25
PC;2;read;0.001024;20681.2
PC;2;read;33.55;12255.09
PC;2;read;0.016384;21028.28
PC;2;read;0.008192;20989.5
PC;2;read;0.262144;19994.46
PC;2;read;8589.93;15781.56
PC;2;read;0.524288;17802.99
PC;2;read;2.1;20375.63
PC;2;read;0.032768;20629.51
PC;2;read;1073.74;14688.67
PC;2;read;67.11;11894.52
PC;2;read;4294.97;15802.35
PC;2;read;16.78;12923.44
PC;2;read;0.002048;20848.58
PC;2;read;8.39;15615.43
PC;2;read;1.05;20385.2
PC;2;read;4.19;19619.48
PC;2;read;268.44;11904.54
PC;2;read;134.22;11921.99
PC;2;read;2147.48;15794.85
PC;2;read;0.065536;18374.25
PC;2;write;0.131072;14950.98
PC;2;write;0.000512;15955.31
PC;2;write;536.87;9732.27
PC;2;write;0.004096;15895.85
PC;2;write;0.001024;15896.13
PC;2;write;33.55;10773.62
PC;2;write;0.016384;15923.86
PC;2;write;0.008192;15954.88
PC;2;write;0.262144;14287.47
PC;2;write;8589.93;10030.89
PC;2;write;0.524288;13869.55
PC;2;write;2.1;13947.2
PC;2;write;0.032768;15841.81
PC;2;write;1073.74;9671.43
PC;2;write;67.11;9695.01
PC;2;write;4294.97;9704.3
PC;2;write;16.78;11915.64
PC;2;write;0.002048;15947.03
PC;2;write;8.39;13847.67
PC;2;write;1.05;13897.76
PC;2;write;4.19;13919.15
PC;2;write;268.44;9649.36
PC;2;write;134.22;9863.87
PC;2;write;2147.48;9678.32
PC;2;write;0.065536;15004.79
PC;3;read;0.131072;18468.91
PC;3;read;0.000512;20315.13
PC;3;read;536.87;15745.4
PC;3;read;0.004096;20933.39
PC;3;read;0.001024;20745.07
PC;3;read;33.55;12124.46
PC;3;read;0.016384;21032.79
PC;3;read;0.008192;21067.19
PC;3;read;0.262144;20503.15
PC;3;read;8589.93;15666.52
PC;3;read;0.524288;20411.44
