timestamp;cpu;mem
Wed Aug 30 19:12:47.1 2017;5.6;0.3
Wed Aug 30 19:12:48.1 2017;11.6;0.3
Wed Aug 30 19:12:49.11 2017;11.2;0.3
Wed Aug 30 19:12:50.11 2017;0.0;1.6
Wed Aug 30 19:12:51.11 2017;11.4;0.3
Wed Aug 30 19:12:52.11 2017;11.8;0.3
Wed Aug 30 19:12:53.11 2017;5.7;0.3
Wed Aug 30 19:12:54.11 2017;5.8;0.3
Wed Aug 30 19:12:55.11 2017;5.7;1.6
Wed Aug 30 19:12:56.11 2017;0.0;1.6
Wed Aug 30 19:12:57.11 2017;5.9;0.3
Wed Aug 30 19:12:58.11 2017;6.0;0.3
Wed Aug 30 19:12:59.12 2017;5.7;1.6
Wed Aug 30 19:13:00.12 2017;0.0;1.6
Wed Aug 30 19:13:01.12 2017;6.0;1.6
Wed Aug 30 19:13:02.12 2017;11.4;0.3
Wed Aug 30 19:13:03.12 2017;5.7;0.3
Wed Aug 30 19:13:04.12 2017;5.7;0.3
Wed Aug 30 19:13:05.12 2017;5.8;0.3
Wed Aug 30 19:13:06.12 2017;5.6;0.3
Wed Aug 30 19:14:09.7 2017;5.0;0.3
Wed Aug 30 19:14:10.7 2017;10.5;0.3
Wed Aug 30 19:14:11.7 2017;17.3;0.3
Wed Aug 30 19:14:12.7 2017;5.1;0.3
Wed Aug 30 19:14:13.7 2017;5.3;0.3
Wed Aug 30 19:14:14.7 2017;0.0;1.6
Wed Aug 30 19:14:15.7 2017;5.2;0.3
Wed Aug 30 19:14:16.7 2017;5.3;1.6
Wed Aug 30 19:14:17.71 2017;10.9;0.3
Wed Aug 30 19:14:18.71 2017;5.6;0.3
Wed Aug 30 19:14:19.71 2017;11.6;0.3
Wed Aug 30 19:14:20.71 2017;5.1;1.6
Wed Aug 30 19:14:21.71 2017;0.0;1.6
Wed Aug 30 19:14:22.71 2017;5.7;0.3
Wed Aug 30 19:14:23.71 2017;5.6;1.6
Wed Aug 30 19:14:24.71 2017;5.1;0.3
Wed Aug 30 19:14:25.71 2017;5.2;0.3
Wed Aug 30 19:14:26.71 2017;10.3;0.3
Wed Aug 30 19:14:27.72 2017;5.2;0.3
Wed Aug 30 19:14:28.72 2017;10.1;0.3
Wed Aug 30 19:15:32.4 2017;5.9;0.3
Wed Aug 30 19:15:33.4 2017;11.6;0.3
Wed Aug 30 19:15:34.4 2017;0.0;1.6
Wed Aug 30 19:15:35.4 2017;5.6;0.3
Wed Aug 30 19:15:36.4 2017;0.0;1.6
Wed Aug 30 19:15:37.41 2017;5.8;0.3
Wed Aug 30 19:15:38.41 2017;6.0;0.3
Wed Aug 30 19:15:39.41 2017;17.3;0.3
Wed Aug 30 19:15:40.41 2017;12.0;0.3
Wed Aug 30 19:15:41.41 2017;11.5;0.3
Wed Aug 30 19:15:42.41 2017;11.3;0.3
Wed Aug 30 19:15:43.41 2017;0.0;1.6
Wed Aug 30 19:15:44.41 2017;5.7;0.3
Wed Aug 30 19:15:45.41 2017;5.8;1.6
Wed Aug 30 19:15:46.41 2017;11.5;0.3
Wed Aug 30 19:15:47.42 2017;5.8;0.3
Wed Aug 30 19:15:48.42 2017;11.5;0.3
Wed Aug 30 19:15:49.42 2017;5.7;0.3
Wed Aug 30 19:15:50.42 2017;11.7;0.3
Wed Aug 30 19:15:51.42 2017;11.7;0.3
Wed Aug 30 19:16:55.0 2017;5.7;1.6
Wed Aug 30 19:16:56.01 2017;11.6;0.3
Wed Aug 30 19:16:57.01 2017;11.3;0.3
Wed Aug 30 19:16:58.01 2017;0.0;1.6
Wed Aug 30 19:16:59.01 2017;5.6;0.3
Wed Aug 30 19:17:00.01 2017;5.8;1.6
Wed Aug 30 19:17:01.01 2017;5.7;0.3
Wed Aug 30 19:17:02.01 2017;23.2;0.3
Wed Aug 30 19:17:03.01 2017;16.9;0.3
Wed Aug 30 19:17:04.02 2017;5.8;0.3
Wed Aug 30 19:17:05.02 2017;5.7;1.6
Wed Aug 30 19:17:06.02 2017;5.8;1.6
Wed Aug 30 19:17:07.02 2017;5.6;0.3
Wed Aug 30 19:17:08.02 2017;11.5;0.3
Wed Aug 30 19:17:09.02 2017;5.7;0.3
Wed Aug 30 19:17:10.02 2017;5.7;1.6
Wed Aug 30 19:17:11.02 2017;11.3;0.3
Wed Aug 30 19:17:12.02 2017;16.2;0.3
Wed Aug 30 19:17:13.03 2017;17.1;0.3
Wed Aug 30 19:17:14.03 2017;5.5;1.6
