timestamp;cpu;mem
Wed Aug 30 19:48:47.41 2017;17.7;0.3
Wed Aug 30 19:48:48.41 2017;11.3;0.3
Wed Aug 30 19:48:49.41 2017;11.1;0.3
Wed Aug 30 19:48:50.42 2017;5.7;0.3
Wed Aug 30 19:48:51.42 2017;11.2;0.3
Wed Aug 30 19:48:52.42 2017;11.6;0.3
Wed Aug 30 19:48:53.42 2017;16.6;0.3
Wed Aug 30 19:48:54.42 2017;11.9;0.3
Wed Aug 30 19:48:55.42 2017;11.3;0.3
Wed Aug 30 19:48:56.42 2017;5.8;0.3
Wed Aug 30 19:48:57.43 2017;16.8;0.3
Wed Aug 30 19:48:58.43 2017;5.7;0.3
Wed Aug 30 19:48:59.43 2017;11.5;0.3
Wed Aug 30 19:49:00.43 2017;11.1;0.3
Wed Aug 30 19:49:01.43 2017;11.2;0.3
Wed Aug 30 19:49:02.43 2017;18.0;0.3
Wed Aug 30 19:49:03.43 2017;5.8;0.3
Wed Aug 30 19:49:04.43 2017;16.7;0.3
Wed Aug 30 19:49:05.44 2017;5.9;0.3
Wed Aug 30 19:49:06.44 2017;11.7;0.3
Wed Aug 30 19:49:07.44 2017;0.0;1.6
Wed Aug 30 19:50:09.84 2017;63.0;1.6
Wed Aug 30 19:50:10.84 2017;0.0;1.6
Wed Aug 30 19:50:11.85 2017;5.1;0.3
Wed Aug 30 19:50:12.85 2017;0.0;1.6
Wed Aug 30 19:50:13.85 2017;10.3;0.3
Wed Aug 30 19:50:14.85 2017;0.0;1.6
Wed Aug 30 19:50:15.85 2017;10.9;0.3
Wed Aug 30 19:50:16.85 2017;10.7;0.3
Wed Aug 30 19:50:17.85 2017;5.8;0.3
Wed Aug 30 19:50:18.85 2017;10.4;0.3
Wed Aug 30 19:50:19.85 2017;5.5;0.3
Wed Aug 30 19:50:20.85 2017;0.0;1.6
Wed Aug 30 19:50:21.86 2017;5.2;0.3
Wed Aug 30 19:50:22.86 2017;5.6;0.3
Wed Aug 30 19:50:23.86 2017;5.1;0.3
Wed Aug 30 19:50:24.86 2017;5.3;1.6
Wed Aug 30 19:50:25.86 2017;17.1;0.3
Wed Aug 30 19:50:26.86 2017;10.6;0.3
Wed Aug 30 19:50:27.86 2017;11.1;0.3
Wed Aug 30 19:50:28.86 2017;5.3;1.6
Wed Aug 30 19:50:29.86 2017;11.8;0.3
Wed Aug 30 19:51:32.3 2017;85.1;1.1
Wed Aug 30 19:51:33.3 2017;11.7;0.3
Wed Aug 30 19:51:34.3 2017;11.5;0.3
Wed Aug 30 19:51:35.31 2017;11.7;0.3
Wed Aug 30 19:51:36.31 2017;5.7;0.3
Wed Aug 30 19:51:37.31 2017;11.2;0.3
Wed Aug 30 19:51:38.31 2017;5.9;1.6
Wed Aug 30 19:51:39.31 2017;11.3;0.3
Wed Aug 30 19:51:40.31 2017;5.8;1.6
Wed Aug 30 19:51:41.31 2017;11.4;0.3
Wed Aug 30 19:51:42.31 2017;5.4;0.3
Wed Aug 30 19:51:43.31 2017;11.6;0.3
Wed Aug 30 19:51:44.31 2017;5.9;0.3
Wed Aug 30 19:51:45.32 2017;11.6;0.3
Wed Aug 30 19:51:46.32 2017;5.8;0.3
Wed Aug 30 19:51:47.32 2017;5.6;0.3
Wed Aug 30 19:51:48.32 2017;11.3;0.3
Wed Aug 30 19:51:49.32 2017;11.7;0.3
Wed Aug 30 19:51:50.32 2017;5.8;0.3
Wed Aug 30 19:51:51.32 2017;11.6;0.3
Wed Aug 30 19:51:52.32 2017;0.0;1.6
Wed Aug 30 19:52:55.9 2017;5.9;1.6
Wed Aug 30 19:52:56.9 2017;11.3;0.3
Wed Aug 30 19:52:57.9 2017;11.9;1.6
Wed Aug 30 19:52:58.9 2017;17.6;0.3
Wed Aug 30 19:52:59.9 2017;6.0;0.3
Wed Aug 30 19:53:00.91 2017;6.0;1.6
Wed Aug 30 19:53:01.91 2017;5.8;1.6
Wed Aug 30 19:53:02.91 2017;11.4;0.3
Wed Aug 30 19:53:03.91 2017;11.7;0.3
Wed Aug 30 19:53:04.91 2017;5.6;1.6
Wed Aug 30 19:53:05.91 2017;11.6;0.3
Wed Aug 30 19:53:06.91 2017;11.4;0.3
Wed Aug 30 19:53:07.91 2017;11.3;0.3
Wed Aug 30 19:53:08.91 2017;11.6;0.3
Wed Aug 30 19:53:09.91 2017;17.1;0.3
Wed Aug 30 19:53:10.92 2017;11.6;0.3
Wed Aug 30 19:53:11.92 2017;5.7;0.3
Wed Aug 30 19:53:12.92 2017;17.1;0.3
Wed Aug 30 19:53:13.92 2017;16.9;0.3
Wed Aug 30 19:53:14.92 2017;12.0;0.3
