timestamp;cpu;mem
Wed Aug 30 15:05:19.59 2017;0.0;0.1
Wed Aug 30 15:05:20.6 2017;0.0;1.5
Wed Aug 30 15:05:21.6 2017;0.0;1.5
Wed Aug 30 15:05:22.6 2017;0.0;1.5
Wed Aug 30 15:05:23.6 2017;0.0;1.5
Wed Aug 30 15:05:24.6 2017;0.0;1.5
Wed Aug 30 15:05:25.6 2017;0.0;1.5
Wed Aug 30 15:05:26.6 2017;0.0;1.5
Wed Aug 30 15:05:27.6 2017;6.7;0.0
Wed Aug 30 15:05:28.6 2017;6.7;1.5
Wed Aug 30 15:05:29.6 2017;0.0;1.5
Wed Aug 30 15:05:30.6 2017;0.0;1.5
Wed Aug 30 15:05:31.61 2017;0.0;1.5
Wed Aug 30 15:05:32.61 2017;0.0;1.5
Wed Aug 30 15:05:33.61 2017;0.0;1.5
Wed Aug 30 15:05:34.61 2017;6.7;0.0
Wed Aug 30 15:05:35.61 2017;0.0;1.5
Wed Aug 30 15:05:36.61 2017;6.7;1.5
Wed Aug 30 15:05:37.61 2017;0.0;1.5
Wed Aug 30 15:05:38.61 2017;0.0;1.5
Wed Aug 30 15:05:39.61 2017;0.0;1.5
Wed Aug 30 15:06:41.05 2017;0.0;1.5
Wed Aug 30 15:06:42.05 2017;0.0;1.5
Wed Aug 30 15:06:43.05 2017;0.0;1.5
Wed Aug 30 15:06:44.05 2017;0.0;1.5
Wed Aug 30 15:06:45.05 2017;0.0;1.5
Wed Aug 30 15:06:46.05 2017;0.0;1.5
Wed Aug 30 15:06:47.06 2017;0.0;1.5
Wed Aug 30 15:06:48.06 2017;0.0;1.5
Wed Aug 30 15:06:49.06 2017;0.0;1.5
Wed Aug 30 15:06:50.06 2017;0.0;1.5
Wed Aug 30 15:06:51.06 2017;0.0;1.5
Wed Aug 30 15:06:52.06 2017;0.0;1.5
Wed Aug 30 15:06:53.06 2017;0.0;1.5
Wed Aug 30 15:06:54.06 2017;0.0;1.5
Wed Aug 30 15:06:55.06 2017;0.0;1.5
Wed Aug 30 15:06:56.06 2017;6.2;1.5
Wed Aug 30 15:06:57.06 2017;0.0;1.5
Wed Aug 30 15:06:58.07 2017;0.0;1.5
Wed Aug 30 15:06:59.07 2017;0.0;1.5
Wed Aug 30 15:07:00.07 2017;0.0;1.5
Wed Aug 30 15:08:01.5 2017;0.0;1.5
Wed Aug 30 15:08:02.5 2017;6.7;1.5
Wed Aug 30 15:08:03.5 2017;0.0;1.5
Wed Aug 30 15:08:04.5 2017;0.0;1.5
Wed Aug 30 15:08:05.5 2017;0.0;1.5
Wed Aug 30 15:08:06.5 2017;0.0;1.5
Wed Aug 30 15:08:07.5 2017;0.0;1.5
Wed Aug 30 15:08:08.5 2017;0.0;1.5
Wed Aug 30 15:08:09.5 2017;0.0;1.5
Wed Aug 30 15:08:10.51 2017;0.0;1.5
Wed Aug 30 15:08:11.51 2017;0.0;1.5
Wed Aug 30 15:08:12.51 2017;0.0;1.5
Wed Aug 30 15:08:13.51 2017;0.0;1.5
Wed Aug 30 15:08:14.51 2017;0.0;1.5
Wed Aug 30 15:08:15.51 2017;0.0;1.5
Wed Aug 30 15:08:16.51 2017;6.2;0.0
Wed Aug 30 15:08:17.51 2017;0.0;1.5
Wed Aug 30 15:08:18.51 2017;0.0;1.5
Wed Aug 30 15:08:19.51 2017;6.2;1.5
Wed Aug 30 15:08:20.52 2017;0.0;1.5
Wed Aug 30 15:09:21.94 2017;0.0;1.5
Wed Aug 30 15:09:22.94 2017;0.0;1.5
Wed Aug 30 15:09:23.94 2017;0.0;1.5
Wed Aug 30 15:09:24.95 2017;0.0;1.5
Wed Aug 30 15:09:25.95 2017;6.7;0.0
Wed Aug 30 15:09:26.95 2017;0.0;1.5
Wed Aug 30 15:09:27.95 2017;0.0;1.5
Wed Aug 30 15:09:28.95 2017;0.0;1.5
Wed Aug 30 15:09:29.95 2017;0.0;1.5
Wed Aug 30 15:09:30.95 2017;0.0;1.5
Wed Aug 30 15:09:31.95 2017;0.0;1.5
Wed Aug 30 15:09:32.95 2017;0.0;1.5
Wed Aug 30 15:09:33.95 2017;0.0;1.5
Wed Aug 30 15:09:34.95 2017;0.0;1.5
Wed Aug 30 15:09:35.96 2017;0.0;1.5
Wed Aug 30 15:09:36.96 2017;0.0;1.5
Wed Aug 30 15:09:37.96 2017;0.0;1.5
Wed Aug 30 15:09:38.96 2017;0.0;1.5
Wed Aug 30 15:09:39.96 2017;0.0;1.5
Wed Aug 30 15:09:40.96 2017;0.0;1.5
