timestamp;cpu;mem
Wed Aug 30 15:21:00.26 2017;0.0;1.5
Wed Aug 30 15:21:01.26 2017;6.7;1.5
Wed Aug 30 15:21:02.26 2017;0.0;1.5
Wed Aug 30 15:21:03.26 2017;0.0;1.5
Wed Aug 30 15:21:04.26 2017;0.0;1.5
Wed Aug 30 15:21:05.26 2017;6.7;0.0
Wed Aug 30 15:21:06.27 2017;0.0;1.5
Wed Aug 30 15:21:07.27 2017;0.0;1.5
Wed Aug 30 15:21:08.27 2017;0.0;1.5
Wed Aug 30 15:21:09.27 2017;0.0;1.5
Wed Aug 30 15:21:10.27 2017;6.7;0.0
Wed Aug 30 15:21:11.27 2017;0.0;1.5
Wed Aug 30 15:21:12.27 2017;6.7;0.0
Wed Aug 30 15:21:13.27 2017;6.7;0.0
Wed Aug 30 15:21:14.27 2017;0.0;1.5
Wed Aug 30 15:21:15.27 2017;6.2;0.0
Wed Aug 30 15:21:16.27 2017;0.0;1.5
Wed Aug 30 15:21:17.28 2017;0.0;1.5
Wed Aug 30 15:21:18.28 2017;0.0;1.5
Wed Aug 30 15:21:19.28 2017;6.7;0.0
Wed Aug 30 15:22:20.6 2017;0.0;1.5
Wed Aug 30 15:22:21.6 2017;0.0;1.5
Wed Aug 30 15:22:22.6 2017;6.2;0.0
Wed Aug 30 15:22:23.6 2017;6.2;1.5
Wed Aug 30 15:22:24.6 2017;0.0;1.5
Wed Aug 30 15:22:25.61 2017;0.0;1.5
Wed Aug 30 15:22:26.61 2017;0.0;1.5
Wed Aug 30 15:22:27.61 2017;0.0;1.5
Wed Aug 30 15:22:28.61 2017;6.7;0.0
Wed Aug 30 15:22:29.61 2017;0.0;1.5
Wed Aug 30 15:22:30.61 2017;0.0;1.5
Wed Aug 30 15:22:31.61 2017;0.0;1.5
Wed Aug 30 15:22:32.61 2017;0.0;1.5
Wed Aug 30 15:22:33.61 2017;6.7;0.0
Wed Aug 30 15:22:34.61 2017;0.0;1.5
Wed Aug 30 15:22:35.61 2017;0.0;1.5
Wed Aug 30 15:22:36.61 2017;0.0;1.5
Wed Aug 30 15:22:37.62 2017;6.7;1.5
Wed Aug 30 15:22:38.62 2017;0.0;1.5
Wed Aug 30 15:22:39.62 2017;0.0;1.5
Wed Aug 30 15:23:40.93 2017;60.0;1.5
Wed Aug 30 15:23:41.93 2017;0.0;1.5
Wed Aug 30 15:23:42.93 2017;6.7;0.0
Wed Aug 30 15:23:43.93 2017;0.0;1.5
Wed Aug 30 15:23:44.93 2017;0.0;1.5
Wed Aug 30 15:23:45.93 2017;0.0;1.5
Wed Aug 30 15:23:46.93 2017;6.2;0.0
Wed Aug 30 15:23:47.93 2017;0.0;1.5
Wed Aug 30 15:23:48.93 2017;0.0;1.5
Wed Aug 30 15:23:49.94 2017;0.0;1.5
Wed Aug 30 15:23:50.94 2017;0.0;1.5
Wed Aug 30 15:23:51.94 2017;0.0;1.5
Wed Aug 30 15:23:52.94 2017;0.0;1.5
Wed Aug 30 15:23:53.94 2017;0.0;1.5
Wed Aug 30 15:23:54.94 2017;0.0;1.5
Wed Aug 30 15:23:55.94 2017;0.0;1.5
Wed Aug 30 15:23:56.94 2017;0.0;1.5
Wed Aug 30 15:23:57.94 2017;0.0;1.5
Wed Aug 30 15:23:58.94 2017;6.2;0.0
Wed Aug 30 15:23:59.94 2017;0.0;1.5
Wed Aug 30 15:24:00.95 2017;0.0;1.5
Wed Aug 30 15:25:01.09 2017;66.7;1.5
Wed Aug 30 15:25:02.09 2017;0.0;1.5
Wed Aug 30 15:25:03.09 2017;0.0;1.5
Wed Aug 30 15:25:04.09 2017;0.0;1.5
Wed Aug 30 15:25:05.09 2017;6.7;1.5
Wed Aug 30 15:25:06.09 2017;6.7;0.0
Wed Aug 30 15:25:07.09 2017;0.0;1.5
Wed Aug 30 15:25:08.09 2017;0.0;1.5
Wed Aug 30 15:25:09.09 2017;0.0;1.5
Wed Aug 30 15:25:10.09 2017;6.2;0.0
Wed Aug 30 15:25:11.1 2017;0.0;1.5
Wed Aug 30 15:25:12.1 2017;6.7;0.0
Wed Aug 30 15:25:13.1 2017;6.7;0.0
Wed Aug 30 15:25:14.1 2017;0.0;1.5
Wed Aug 30 15:25:15.1 2017;6.7;0.0
Wed Aug 30 15:25:16.1 2017;0.0;1.5
Wed Aug 30 15:25:17.1 2017;0.0;1.5
Wed Aug 30 15:25:18.1 2017;0.0;1.5
Wed Aug 30 15:25:19.1 2017;0.0;1.5
Wed Aug 30 15:25:20.1 2017;0.0;1.5
Wed Aug 30 15:25:21.1 2017;6.2;0.0
