equipment;device;operation;reqsize;cache;repetition;measurement;cpu;mem
cubie;ssd2;write;4096;0;2;0;17.7;0.3
cubie;ssd2;write;4096;0;2;1;11.3;0.3
cubie;ssd2;write;4096;0;2;2;11.1;0.3
cubie;ssd2;write;4096;0;2;3;5.7;0.3
cubie;ssd2;write;4096;0;2;4;11.2;0.3
cubie;ssd2;write;4096;0;2;5;11.6;0.3
cubie;ssd2;write;4096;0;2;6;16.6;0.3
cubie;ssd2;write;4096;0;2;7;11.9;0.3
cubie;ssd2;write;4096;0;2;8;11.3;0.3
cubie;ssd2;write;4096;0;2;9;5.8;0.3
cubie;ssd2;write;4096;0;2;10;16.8;0.3
cubie;ssd2;write;4096;0;2;11;5.7;0.3
cubie;ssd2;write;4096;0;2;12;11.5;0.3
cubie;ssd2;write;4096;0;2;13;11.1;0.3
cubie;ssd2;write;4096;0;2;14;11.2;0.3
cubie;ssd2;write;4096;0;2;15;18.0;0.3
cubie;ssd2;write;4096;0;2;16;5.8;0.3
cubie;ssd2;write;4096;0;2;17;16.7;0.3
cubie;ssd2;write;4096;0;2;18;5.9;0.3
cubie;ssd2;write;4096;0;2;19;11.7;0.3
cubie;ssd2;write;4096;0;1;0;63.0;1.6
cubie;ssd2;write;4096;0;1;1;0.0;1.6
cubie;ssd2;write;4096;0;1;2;5.1;0.3
cubie;ssd2;write;4096;0;1;3;0.0;1.6
cubie;ssd2;write;4096;0;1;4;10.3;0.3
cubie;ssd2;write;4096;0;1;5;0.0;1.6
cubie;ssd2;write;4096;0;1;6;10.9;0.3
cubie;ssd2;write;4096;0;1;7;10.7;0.3
cubie;ssd2;write;4096;0;1;8;5.8;0.3
cubie;ssd2;write;4096;0;1;9;10.4;0.3
cubie;ssd2;write;4096;0;1;10;5.5;0.3
cubie;ssd2;write;4096;0;1;11;0.0;1.6
cubie;ssd2;write;4096;0;1;12;5.2;0.3
cubie;ssd2;write;4096;0;1;13;5.6;0.3
cubie;ssd2;write;4096;0;1;14;5.1;0.3
cubie;ssd2;write;4096;0;1;15;5.3;1.6
cubie;ssd2;write;4096;0;1;16;17.1;0.3
cubie;ssd2;write;4096;0;1;17;10.6;0.3
cubie;ssd2;write;4096;0;1;18;11.1;0.3
cubie;ssd2;write;4096;0;1;19;5.3;1.6
cubie;ssd2;write;4096;0;1;20;11.8;0.3
cubie;ssd2;write;4096;0;3;0;11.7;0.3
cubie;ssd2;write;4096;0;3;1;11.5;0.3
cubie;ssd2;write;4096;0;3;2;11.7;0.3
cubie;ssd2;write;4096;0;3;3;5.7;0.3
cubie;ssd2;write;4096;0;3;4;11.2;0.3
cubie;ssd2;write;4096;0;3;5;5.9;1.6
cubie;ssd2;write;4096;0;3;6;11.3;0.3
cubie;ssd2;write;4096;0;3;7;5.8;1.6
cubie;ssd2;write;4096;0;3;8;11.4;0.3
cubie;ssd2;write;4096;0;3;9;5.4;0.3
cubie;ssd2;write;4096;0;3;10;11.6;0.3
cubie;ssd2;write;4096;0;3;11;5.9;0.3
cubie;ssd2;write;4096;0;3;12;11.6;0.3
cubie;ssd2;write;4096;0;3;13;5.8;0.3
cubie;ssd2;write;4096;0;3;14;5.6;0.3
cubie;ssd2;write;4096;0;3;15;11.3;0.3
cubie;ssd2;write;4096;0;3;16;11.7;0.3
cubie;ssd2;write;4096;0;3;17;5.8;0.3
cubie;ssd2;write;4096;0;3;18;11.6;0.3
cubie;ssd2;write;4096;0;3;19;0.0;1.6
cubie;ssd2;write;4096;0;4;0;11.3;0.3
cubie;ssd2;write;4096;0;4;1;11.9;1.6
cubie;ssd2;write;4096;0;4;2;17.6;0.3
cubie;ssd2;write;4096;0;4;3;6.0;0.3
cubie;ssd2;write;4096;0;4;4;6.0;1.6
cubie;ssd2;write;4096;0;4;5;5.8;1.6
cubie;ssd2;write;4096;0;4;6;11.4;0.3
cubie;ssd2;write;4096;0;4;7;11.7;0.3
cubie;ssd2;write;4096;0;4;8;5.6;1.6
cubie;ssd2;write;4096;0;4;9;11.6;0.3
cubie;ssd2;write;4096;0;4;10;11.4;0.3
cubie;ssd2;write;4096;0;4;11;11.3;0.3
cubie;ssd2;write;4096;0;4;12;11.6;0.3
cubie;ssd2;write;4096;0;4;13;17.1;0.3
cubie;ssd2;write;4096;0;4;14;11.6;0.3
cubie;ssd2;write;4096;0;4;15;5.7;0.3
cubie;ssd2;write;4096;0;4;16;17.1;0.3
cubie;ssd2;write;4096;0;4;17;16.9;0.3
cubie;ssd2;write;4096;0;4;18;12.0;0.3
