timestamp;test;processor_energy;dram_energy
2017-08-29 10:38:12.956;teste1;42.7;5.17
2017-08-29 10:38:13.959;teste1;41.8;5.31
2017-08-29 10:38:14.958;teste1;41.9;6.04
2017-08-29 10:38:15.961;teste1;42.3;6.13
2017-08-29 10:38:16.964;teste1;43.4;6.11
2017-08-29 10:38:17.967;teste1;43.8;6.28
2017-08-29 10:38:18.970;teste1;44.4;6.23
2017-08-29 10:38:19.973;teste1;39.1;5.71
2017-08-29 10:38:20.976;teste1;42.5;6.29
2017-08-29 10:38:21.980;teste1;39.5;5.46
2017-08-29 10:38:22.982;teste1;37.8;5.25
2017-08-29 10:38:23.986;teste1;37.5;5.28
2017-08-29 10:38:24.988;teste1;37;5.27
2017-08-29 10:38:25.992;teste1;38.2;5.3
2017-08-29 10:38:26.995;teste1;37.5;5.26
2017-08-29 10:38:27.997;teste1;37.6;5.07
2017-08-29 10:38:28.000;teste1;37;5.03
2017-08-29 10:38:30.004;teste1;35.7;4.98
2017-08-29 10:38:31.007;teste1;36;5
2017-08-29 10:38:32.010;teste1;35.9;4.98
2017-08-29 10:38:53.557;teste2;43.5;5.24
2017-08-29 10:38:54.560;teste2;42.5;5.53
2017-08-29 10:38:55.559;teste2;43.8;6.2
2017-08-29 10:38:56.562;teste2;44.2;6.18
2017-08-29 10:38:57.565;teste2;40.6;5.86
2017-08-29 10:38:58.568;teste2;40.9;5.78
2017-08-29 10:38:59.571;teste2;37.9;5.19
2017-08-29 10:39:00.574;teste2;36.3;5.19
2017-08-29 10:39:01.577;teste2;37.5;5.2
2017-08-29 10:39:02.580;teste2;37.2;5.2
2017-08-29 10:39:03.583;teste2;37;5.25
2017-08-29 10:39:04.586;teste2;37.2;5.1
2017-08-29 10:39:05.590;teste2;35.9;4.97
2017-08-29 10:39:06.593;teste2;36.4;4.97
2017-08-29 10:39:07.596;teste2;36.1;5.04
2017-08-29 10:39:08.600;teste2;36.3;5.01
2017-08-29 10:39:09.603;teste2;36.8;4.99
2017-08-29 10:39:10.607;teste2;36.2;4.96
2017-08-29 10:39:11.610;teste2;36.1;4.96
2017-08-29 10:39:12.613;teste2;36.4;5.05
2017-08-29 10:39:34.147;teste3;43.5;5.26
2017-08-29 10:39:35.149;teste3;43.1;5.49
2017-08-29 10:39:36.149;teste3;44.2;6.3
2017-08-29 10:39:37.151;teste3;42.8;6.42
2017-08-29 10:39:38.154;teste3;39;5.59
2017-08-29 10:39:39.157;teste3;40.2;5.9
2017-08-29 10:39:40.160;teste3;37.2;5.2
2017-08-29 10:39:41.163;teste3;37.2;5.19
2017-08-29 10:39:42.166;teste3;36.2;5.21
2017-08-29 10:39:43.169;teste3;36.7;5.24
2017-08-29 10:39:44.172;teste3;37.3;5.22
2017-08-29 10:39:45.176;teste3;37.8;5.1
2017-08-29 10:39:46.179;teste3;36.4;4.98
2017-08-29 10:39:47.182;teste3;35.8;4.98
2017-08-29 10:39:48.185;teste3;35.8;4.99
2017-08-29 10:39:49.189;teste3;36.1;4.95
2017-08-29 10:39:50.192;teste3;36.4;4.96
2017-08-29 10:39:51.195;teste3;35.9;5
2017-08-29 10:39:52.198;teste3;35.5;4.96
2017-08-29 10:39:53.202;teste3;35.9;4.85
