Date,Time,Proc_Energy,DRAM_Energy
2017-08-30,11:55:29.521,12.9,3.31
2017-08-30,11:55:30.525,12.6,3.25
2017-08-30,11:55:31.525,12.6,3.23
2017-08-30,11:55:32.528,12.6,3.24
2017-08-30,11:55:33.532,13.1,3.35
2017-08-30,11:55:34.536,12.9,3.42
2017-08-30,11:55:35.540,12.8,3.29
2017-08-30,11:55:36.543,12.8,3.34
2017-08-30,11:55:37.547,13.1,3.39
2017-08-30,11:55:38.550,12.8,3.45
2017-08-30,11:55:39.554,12.8,3.37
2017-08-30,11:55:40.558,12.9,3.43
2017-08-30,11:55:41.562,12.8,3.45
2017-08-30,11:55:42.565,13.1,3.47
2017-08-30,11:55:43.569,13.1,3.45
2017-08-30,11:55:44.573,13,3.45
2017-08-30,11:55:45.576,13.4,3.39
2017-08-30,11:55:46.580,13,3.36
2017-08-30,11:55:47.584,13.1,3.48
2017-08-30,11:55:48.587,12.7,3.49
2017-08-30,11:55:49.591,12.8,3.47
2017-08-30,11:55:50.595,12.9,3.37
2017-08-30,11:55:51.598,12.7,3.46
2017-08-30,11:55:52.602,12.9,3.3
2017-08-30,11:55:53.606,12.9,3.36
2017-08-30,11:55:54.609,12.6,3.28
2017-08-30,11:55:55.613,12.5,3.25
2017-08-30,11:55:56.617,12.6,3.19
2017-08-30,11:55:57.620,13.4,3.31
2017-08-30,11:55:58.624,12.8,3.27
2017-08-30,11:55:59.628,13,3.28
2017-08-30,11:56:00.631,12.8,3.27
2017-08-30,11:56:01.635,12.8,3.29
2017-08-30,11:56:02.639,31.5,4.12
2017-08-30,11:56:03.642,28.6,3.97
2017-08-30,11:56:04.646,13.6,3.3
2017-08-30,11:56:05.650,12.8,3.23
2017-08-30,11:56:06.653,12.4,3.25
2017-08-30,11:56:07.657,12.8,3.27
2017-08-30,11:56:08.661,12.9,3.24
2017-08-30,11:56:09.664,13,3.24
2017-08-30,11:56:10.668,12.9,3.22
2017-08-30,11:56:11.672,12.8,3.23
2017-08-30,11:56:12.675,12.9,3.25
2017-08-30,11:56:13.679,12.9,3.25
2017-08-30,11:56:14.683,12.6,3.24
2017-08-30,11:56:15.686,12.9,3.25
2017-08-30,11:56:16.690,12.6,3.27
2017-08-30,11:56:17.694,13.1,3.35
2017-08-30,11:56:18.697,12.7,3.36
2017-08-30,11:56:19.701,12.6,3.24
2017-08-30,11:56:20.705,12.8,3.36
2017-08-30,11:56:21.704,12.6,3.26
2017-08-30,11:56:22.708,13,3.32
2017-08-30,11:56:23.712,12.9,3.29
2017-08-30,11:56:24.715,12.6,3.24
2017-08-30,11:56:25.719,12.8,3.25
2017-08-30,11:56:26.723,13.2,3.22
2017-08-30,11:56:27.726,13.9,3.29
