operation;reqsize;cache;repetition;measurement;power_cpu;power_ram
randread;32;0;1;0;39.4;4.6
randread;32;0;1;1;37.4;4.31
randread;32;0;1;2;35.7;4.24
randread;32;0;1;3;34.3;4.44
randread;32;0;1;4;34.3;4.39
randread;32;0;1;5;36.1;4.19
randread;32;0;1;6;36.4;4.24
randread;32;0;1;7;36.3;4.2
randread;32;0;1;8;34.3;4.43
randread;32;0;1;9;35.8;4.24
randread;32;0;1;10;35.7;4.17
randread;32;0;1;11;36.3;4.21
randread;32;0;1;12;35.7;4.17
randread;32;0;1;13;34.2;4.38
randread;32;0;1;14;36.3;4.14
randread;32;0;1;15;36.3;4.12
randread;32;0;1;16;34.2;4.35
randread;32;0;1;17;34.2;4.38
randread;32;0;1;18;36.2;4.19
randread;32;0;1;19;36.0;4.19
randread;32;0;1;20;35.7;4.16
randread;32;0;1;21;36.3;4.13
randread;32;0;1;22;36.2;4.14
randread;32;0;1;23;36.3;4.08
randread;32;0;1;24;34.3;4.3
randread;32;0;1;25;34.2;4.37
randread;32;0;1;26;36.3;4.2
randread;32;0;1;27;36.4;4.21
randread;32;0;1;28;34.3;4.41
randread;32;0;1;29;34.3;4.37
randread;32;0;1;30;35.6;4.13
randread;32;0;1;31;36.3;4.07
randread;32;0;1;32;34.2;4.32
randread;32;0;1;33;34.3;4.29
randread;32;0;1;34;36.2;4.08
randread;32;0;1;35;35.8;4.09
randread;32;0;1;36;35.6;4.11
randread;32;0;1;37;36.3;4.11
randread;32;0;1;38;36.1;4.2
randread;32;0;1;39;36.2;4.16
randread;32;0;1;40;34.2;4.24
randread;32;0;1;41;36.3;4.07
randread;32;0;1;42;36.3;4.05
randread;32;0;1;43;36.3;4.13
randread;32;0;1;44;34.3;4.38
randread;32;0;1;45;34.2;4.33
randread;32;0;1;46;36.2;4.15
randread;32;0;1;47;36.3;4.1
randread;32;0;1;48;35.7;4.13
randread;32;0;1;49;34.3;4.43
randread;32;0;1;50;34.6;4.31
randread;32;0;1;51;35.8;4.25
randread;32;0;1;52;34.2;4.39
randread;32;0;1;53;36.3;4.21
randread;32;0;1;54;36.2;4.18
randread;32;0;1;55;36.3;4.24
randread;32;0;1;56;35.7;4.21
randread;32;0;1;57;35.7;4.18
randread;32;0;1;58;36.2;4.18
randread;32;0;1;59;37.1;4.23
randread;32;0;2;0;37.3;4.68
randread;32;0;2;1;36.9;4.73
randread;32;0;2;2;37.8;4.64
randread;32;0;2;3;37.0;4.66
randread;32;0;2;4;38.2;4.62
randread;32;0;2;5;36.7;4.63
randread;32;0;2;6;36.8;4.72
randread;32;0;2;7;38.9;4.61
randread;32;0;2;8;38.7;4.61
randread;32;0;2;9;37.7;4.71
randread;32;0;2;10;36.7;4.74
randread;32;0;2;11;38.8;4.62
randread;32;0;2;12;38.6;4.62
randread;32;0;2;13;38.9;4.62
randread;32;0;2;14;36.6;4.69
randread;32;0;2;15;37.8;4.62
randread;32;0;2;16;39.9;4.61
randread;32;0;2;17;38.9;4.73
randread;32;0;2;18;38.1;4.68
randread;32;0;2;19;39.3;4.63
randread;32;0;2;20;36.7;4.72
randread;32;0;2;21;39.2;4.63
randread;32;0;2;22;39.2;4.61
randread;32;0;2;23;39.4;4.56
randread;32;0;2;24;38.5;4.54
randread;32;0;2;25;42.0;4.57
randread;32;0;2;26;38.6;4.73
randread;32;0;2;27;38.0;4.69
randread;32;0;2;28;36.7;4.74
randread;32;0;2;29;37.3;4.74
randread;32;0;2;30;40.1;4.54
randread;32;0;2;31;38.5;4.65
randread;32;0;2;32;39.1;4.61
randread;32;0;2;33;39.8;4.6
randread;32;0;2;34;36.7;4.78
randread;32;0;2;35;40.9;4.55
randread;32;0;2;36;38.4;4.67
randread;32;0;2;37;36.7;4.8
randread;32;0;2;38;36.8;4.72
randread;32;0;2;39;38.3;4.67
randread;32;0;2;40;38.8;4.66
randread;32;0;2;41;38.8;4.65
randread;32;0;2;42;38.9;4.64
randread;32;0;2;43;39.5;4.64
randread;32;0;2;44;38.5;4.7
randread;32;0;2;45;37.9;4.74
randread;32;0;2;46;38.2;4.67
randread;32;0;2;47;39.5;4.63
randread;32;0;2;48;38.8;4.66
randread;32;0;2;49;39.0;4.64
randread;32;0;2;50;41.1;4.55
randread;32;0;2;51;39.3;4.7
randread;32;0;2;52;38.6;4.7
randread;32;0;2;53;38.7;4.64
randread;32;0;2;54;40.3;4.55
