operation;reqsize;cache;repetition;measurement;power_cpu;power_ram
randread;32;0;1;0;35.7;4.71
randread;32;0;1;1;34.6;4.59
randread;32;0;1;2;34.4;4.58
randread;32;0;1;3;34.8;4.61
randread;32;0;1;4;35.2;4.6
randread;32;0;1;5;35.3;4.64
randread;32;0;1;6;34.6;4.57
randread;32;0;1;7;37.9;4.73
randread;32;0;1;8;39.9;4.67
randread;32;0;1;9;41.5;4.77
randread;32;0;1;10;44.0;5.36
randread;32;0;1;11;44.0;5.44
randread;32;0;1;12;44.0;5.34
randread;32;0;1;13;44.1;5.35
randread;32;0;1;14;44.0;5.51
randread;32;0;1;15;44.1;5.34
randread;32;0;1;16;44.7;5.53
randread;32;0;1;17;44.1;5.37
randread;32;0;1;18;44.0;5.58
randread;32;0;1;19;44.1;5.32
randread;32;0;1;20;44.0;5.62
randread;32;0;1;21;43.9;5.36
randread;32;0;1;22;43.8;5.37
randread;32;0;1;23;44.1;5.36
randread;32;0;1;24;43.9;5.34
randread;32;0;1;25;44.0;5.32
randread;32;0;1;26;43.9;5.35
randread;32;0;1;27;44.0;5.33
randread;32;0;1;28;44.1;5.36
randread;32;0;1;29;43.9;5.34
randread;32;0;1;30;44.0;5.34
randread;32;0;1;31;44.4;5.34
randread;32;0;1;32;44.5;5.35
randread;32;0;1;33;44.4;5.35
randread;32;0;1;34;44.2;5.34
randread;32;0;1;35;44.0;5.35
randread;32;0;1;36;44.0;5.35
randread;32;0;1;37;43.9;5.33
randread;32;0;1;38;44.7;5.32
randread;32;0;1;39;44.4;5.34
randread;32;0;1;40;44.0;5.34
randread;32;0;1;41;44.6;5.38
randread;32;0;1;42;39.3;5.34
randread;32;0;1;43;35.7;4.57
randread;32;0;1;44;34.8;4.55
randread;32;0;1;45;35.5;4.57
randread;32;0;1;46;34.7;4.56
randread;32;0;1;47;35.2;4.54
randread;32;0;1;48;35.3;4.57
randread;32;0;1;49;34.8;4.54
randread;32;0;1;50;34.8;4.54
randread;32;0;1;51;34.9;4.55
randread;32;0;1;52;34.7;4.53
randread;32;0;1;53;35.6;4.56
randread;32;0;1;54;35.2;4.57
randread;32;0;1;55;34.8;4.55
randread;32;0;1;56;35.6;4.59
randread;32;0;1;57;35.2;4.55
randread;32;0;1;58;35.2;4.55
randread;32;0;1;59;35.3;4.57
randread;32;0;2;0;35.4;4.61
randread;32;0;2;1;35.1;4.64
randread;32;0;2;2;35.0;4.55
randread;32;0;2;3;34.6;4.55
randread;32;0;2;4;34.9;4.58
randread;32;0;2;5;34.8;4.58
randread;32;0;2;6;34.8;4.6
randread;32;0;2;7;35.0;4.55
randread;32;0;2;8;34.6;4.47
randread;32;0;2;9;34.6;4.55
randread;32;0;2;10;34.5;4.55
randread;32;0;2;11;34.5;4.57
randread;32;0;2;12;34.5;4.53
randread;32;0;2;13;34.6;4.6
randread;32;0;2;14;34.5;4.55
randread;32;0;2;15;34.5;4.6
randread;32;0;2;16;34.5;4.53
