equipment;device;operation;reqsize;cache;repetition;dataamount;bandwidth;tempo
draco1;ssd/;randread;32;0;1;8827437056.0;147119104.0;60.001
draco1;ssd/;randread;32;0;2;7996335718.4;133268480.0;60.001
draco1;ssd/;randread;32;0;3;7902383308.8;131702784.0;60.001
draco1;ssd/;randread;32;0;4;7902173593.6;131715072.0;60.001
draco1;ssd/;randwrite;32;1;1;21474836480.0;561183744.0;38.267
draco1;ssd/;randwrite;32;1;2;21474836480.0;564532224.0;38.04
draco1;ssd/;randwrite;32;1;3;21474836480.0;562624512.0;38.169
draco1;ssd/;randwrite;32;1;4;21474836480.0;561726464.0;38.23
draco1;ssd/;randwrite;32;0;1;19886243840.0;331428864.0;60.001
draco1;ssd/;randwrite;32;0;2;19864223744.0;331059200.0;60.001
draco1;ssd/;randwrite;32;0;3;19962789888.0;332710912.0;60.001
draco1;ssd/;randwrite;32;0;4;20003684352.0;333381632.0;60.001
draco1;ssd/;read;32;0;1;21474836480.0;457475072.0;46.942
draco1;ssd/;read;32;0;2;21474836480.0;457660416.0;46.923
draco1;ssd/;read;32;0;3;21474836480.0;454897664.0;47.208
draco1;ssd/;read;32;0;4;21474836480.0;454772736.0;47.221
draco1;ssd/;write;32;1;1;21474836480.0;608041984.0;35.318
draco1;ssd/;write;32;1;2;21474836480.0;605435904.0;35.47
draco1;ssd/;write;32;1;3;21474836480.0;545281024.0;39.383
draco1;ssd/;write;32;1;4;21474836480.0;639169536.0;33.598
draco1;ssd/;write;32;0;1;20188233728.0;336460800.0;60.001
draco1;ssd/;write;32;0;2;18825084928.0;313753600.0;60.001
draco1;ssd/;write;32;0;3;18876465152.0;314598400.0;60.001
draco1;ssd/;write;32;0;4;18922602496.0;315370496.0;60.001
