equipment;device;operation;reqsize;cache;repetition;dataamount;bandwidth;tempo
draco1-powersave;ssd/;randread;32;0;1;8290356428.8;138168320.0;60.001
draco1-powersave;ssd/;randread;32;0;2;7954392678.4;132570112.0;60.001
draco1-powersave;ssd/;randread;32;0;3;8590039449.6;143164416.0;60.001
draco1-powersave;ssd/;randread;32;0;4;7858133401.6;130979840.0;60.001
draco1-powersave;ssd/;randwrite;32;1;1;21474836480.0;599704576.0;35.809
draco1-powersave;ssd/;randwrite;32;1;2;21474836480.0;599235584.0;35.837
draco1-powersave;ssd/;randwrite;32;1;3;21474836480.0;599169024.0;35.841
draco1-powersave;ssd/;randwrite;32;1;4;21474836480.0;600627200.0;35.754
draco1-powersave;ssd/;randwrite;32;0;1;19269681152.0;321157120.0;60.001
draco1-powersave;ssd/;randwrite;32;0;2;19287506944.0;321451008.0;60.001
draco1-powersave;ssd/;randwrite;32;0;3;19889389568.0;331491328.0;60.001
draco1-powersave;ssd/;randwrite;32;0;4;19234029568.0;320553984.0;60.001
draco1-powersave;ssd/;read;32;0;1;21474836480.0;437841920.0;49.047
draco1-powersave;ssd/;read;32;0;2;21474836480.0;435886080.0;49.267
draco1-powersave;ssd/;read;32;0;3;21474836480.0;414996480.0;51.747
draco1-powersave;ssd/;read;32;0;4;21474836480.0;415936512.0;51.63
draco1-powersave;ssd/;write;32;1;1;21474836480.0;642017280.0;33.449
draco1-powersave;ssd/;write;32;1;2;21474836480.0;640982016.0;33.503
draco1-powersave;ssd/;write;32;1;3;21474836480.0;586888192.0;36.591
draco1-powersave;ssd/;write;32;1;4;21474836480.0;640657408.0;33.52
draco1-powersave;ssd/;write;32;0;1;20158873600.0;335982592.0;60.001
draco1-powersave;ssd/;write;32;0;2;20092813312.0;334877696.0;60.001
draco1-powersave;ssd/;write;32;0;3;18983419904.0;316376064.0;60.001
draco1-powersave;ssd/;write;32;0;4;19007537152.0;316787712.0;60.001
