equipment;device;operation;reqsize;cache;repetition;measurement;rms1;rms2;rms3
CUBIE;SSD2;write;4096;0;10;0;0.4397;0.2066;2.514
CUBIE;SSD2;write;4096;0;10;1;0.4397;0.2078;2.516
CUBIE;SSD2;write;4096;0;10;2;0.4399;0.3092;2.533
CUBIE;SSD2;write;4096;0;10;3;0.4398;0.3055;2.531
CUBIE;SSD2;write;4096;0;10;4;0.4395;0.2983;2.53
CUBIE;SSD2;write;4096;0;10;5;0.4395;0.3134;2.531
CUBIE;SSD2;write;4096;0;10;6;0.4394;0.2993;2.531
CUBIE;SSD2;write;4096;0;10;7;0.4394;0.3035;2.531
CUBIE;SSD2;write;4096;0;10;8;0.4392;0.302;2.532
CUBIE;SSD2;write;4096;0;10;9;0.4391;0.3539;2.539
CUBIE;SSD2;write;4096;0;10;10;0.4393;0.3554;2.539
CUBIE;SSD2;write;4096;0;10;11;0.4396;0.2882;2.53
CUBIE;SSD2;write;4096;0;10;12;0.4397;0.301;2.531
CUBIE;SSD2;write;4096;0;10;13;0.4397;0.3021;2.532
CUBIE;SSD2;write;4096;0;10;14;0.4393;0.2941;2.53
CUBIE;SSD2;write;4096;0;10;15;0.4396;0.2979;2.531
CUBIE;SSD2;write;4096;0;10;16;0.4395;0.2915;2.531
CUBIE;SSD2;write;4096;0;10;17;0.439;0.3;2.53
CUBIE;SSD2;write;4096;0;10;18;0.4397;0.3069;2.53
CUBIE;SSD2;write;4096;0;10;19;0.4396;0.3379;2.539
CUBIE;SSD2;write;4096;0;10;20;0.4394;0.3249;2.537
CUBIE;SSD2;write;4096;0;10;21;0.4395;0.2909;2.531
CUBIE;SSD2;write;4096;0;10;22;0.4392;0.2949;2.532
CUBIE;SSD2;write;4096;0;10;23;0.4397;0.282;2.531
CUBIE;SSD2;write;4096;0;10;24;0.4389;0.2873;2.53
CUBIE;SSD2;write;4096;0;10;25;0.4396;0.3057;2.53
CUBIE;SSD2;write;4096;0;10;26;0.4394;0.2993;2.531
CUBIE;SSD2;write;4096;0;10;27;0.4397;0.3012;2.53
CUBIE;SSD2;write;4096;0;10;28;0.4395;0.2951;2.531
CUBIE;SSD2;write;4096;0;10;29;0.4396;0.2999;2.531
CUBIE;SSD2;write;4096;0;10;30;0.4393;0.2913;2.53
CUBIE;SSD2;write;4096;0;10;31;0.4394;0.285;2.53
CUBIE;SSD2;write;4096;0;10;32;0.4396;0.305;2.531
CUBIE;SSD2;write;4096;0;10;33;0.4387;0.3563;2.538
