equipment;device;operation;reqsize;cache;repetition;measurement;rms1;rms2;rms3
PC;HDD2;write;32;0;5;0;0.4305;0.887;2.531
PC;HDD2;write;32;0;5;1;0.43;0.885;2.54
PC;HDD2;write;32;0;5;2;0.4298;0.996;2.55
PC;HDD2;write;32;0;5;3;0.4299;1.427;2.532
PC;HDD2;write;32;0;5;4;0.43;0.983;2.546
PC;HDD2;write;32;0;5;5;0.4295;0.988;2.54
PC;HDD2;write;32;0;5;6;0.4298;0.988;2.545
PC;HDD2;write;32;0;5;7;0.4296;0.986;2.53
PC;HDD2;write;32;0;5;8;0.4298;1.007;2.55
PC;HDD2;write;32;0;5;9;0.4301;1.001;2.54
PC;HDD2;write;32;0;5;10;0.4294;0.99;2.55
PC;HDD2;write;32;0;5;11;0.4294;0.977;2.55
PC;HDD2;write;32;0;5;12;0.4296;0.956;2.54
PC;HDD2;write;32;0;5;13;0.4279;0.991;2.548
PC;HDD2;write;32;0;5;14;0.4279;1.008;2.546
PC;HDD2;write;32;0;5;15;0.4273;0.987;2.546
PC;HDD2;write;32;0;5;16;0.4274;0.994;2.547
PC;HDD2;write;32;0;5;17;0.4299;0.978;2.545
PC;HDD2;write;32;0;5;18;0.4302;0.989;2.548
PC;HDD2;write;32;0;5;19;0.4297;0.99;2.545
PC;HDD2;write;32;0;5;20;0.4303;1.015;2.546
PC;HDD2;write;32;0;5;21;0.4302;1.003;2.549
PC;HDD2;write;32;0;5;22;0.4303;0.964;2.549
PC;HDD2;write;32;0;5;23;0.4298;0.987;2.545
PC;HDD2;write;32;0;5;24;0.4298;0.995;2.544
PC;HDD2;write;32;0;5;25;0.4298;0.983;2.544
PC;HDD2;write;32;0;5;26;0.4294;0.99;2.547
PC;HDD2;write;32;0;5;27;0.4295;0.997;2.545
PC;HDD2;write;32;0;5;28;0.4295;0.985;2.546
PC;HDD2;write;32;0;5;29;0.4296;0.991;2.545
PC;HDD2;write;32;0;5;30;0.4298;0.987;2.546
PC;HDD2;write;32;0;5;31;0.4301;0.989;2.548
PC;HDD2;write;32;0;5;32;0.4298;0.964;2.547
PC;HDD2;write;32;0;5;33;0.4298;0.991;2.544
PC;HDD2;write;32;0;5;34;0.4298;0.993;2.547
PC;HDD2;write;32;0;5;35;0.4297;0.987;2.546
PC;HDD2;write;32;0;5;36;0.4297;0.99;2.548
PC;HDD2;write;32;0;5;37;0.4297;0.989;2.549
PC;HDD2;write;32;0;5;38;0.4296;0.99;2.545
PC;HDD2;write;32;0;5;39;0.4296;0.989;2.546
PC;HDD2;write;32;0;5;40;0.4294;0.983;2.546
PC;HDD2;write;32;0;5;41;0.4298;0.99;2.545
PC;HDD2;write;32;0;5;42;0.4294;0.989;2.544
PC;HDD2;write;32;0;5;43;0.43;0.976;2.548
PC;HDD2;write;32;0;5;44;0.4295;0.987;2.548
PC;HDD2;write;32;0;5;45;0.4296;0.984;2.545
PC;HDD2;write;32;0;5;46;0.4301;0.993;2.547
PC;HDD2;write;32;0;5;47;0.4297;0.985;2.547
PC;HDD2;write;32;0;5;48;0.4289;0.99;2.542
PC;HDD2;write;32;0;5;49;0.4291;0.989;2.547
PC;HDD2;write;32;0;5;50;0.4294;0.992;2.545
PC;HDD2;write;32;0;5;51;0.4297;0.988;2.546
PC;HDD2;write;32;0;5;52;0.4294;0.949;2.545
PC;HDD2;write;32;0;5;53;0.43;0.982;2.542
PC;HDD2;write;32;0;5;54;0.4297;0.99;2.545
