equipment;device;operation;reqsize;cache;repetition;measurement;rms1;rms2;rms3
PC;SSD2;write;4096;1;4;0;0.4388;0.828;2.512
PC;SSD2;write;4096;1;4;1;0.4392;0.893;2.515
PC;SSD2;write;4096;1;4;2;0.4389;1.373;2.52
PC;SSD2;write;4096;1;4;3;0.4388;1.423;2.514
PC;SSD2;write;4096;1;4;4;0.4388;0.978;2.541
PC;SSD2;write;4096;1;4;5;0.4387;0.974;2.539
PC;SSD2;write;4096;1;4;6;0.4392;1.022;2.54
PC;SSD2;write;4096;1;4;7;0.4388;1.014;2.541
PC;SSD2;write;4096;1;4;8;0.4392;0.986;2.543
PC;SSD2;write;4096;1;4;9;0.439;0.985;2.542
PC;SSD2;write;4096;1;4;10;0.439;0.991;2.541
PC;SSD2;write;4096;1;4;11;0.4388;0.985;2.539
PC;SSD2;write;4096;1;4;12;0.439;0.915;2.542
PC;SSD2;write;4096;1;4;13;0.4392;0.961;2.542
PC;SSD2;write;4096;1;4;14;0.4385;0.892;2.539
PC;SSD2;write;4096;1;4;15;0.4389;0.95;2.542
PC;SSD2;write;4096;1;4;16;0.4389;0.953;2.542
PC;SSD2;write;4096;1;4;17;0.4391;0.988;2.542
PC;SSD2;write;4096;1;4;18;0.4389;0.977;2.542
PC;SSD2;write;4096;1;4;19;0.4388;0.903;2.539
PC;SSD2;write;4096;1;4;20;0.4386;1.215;2.541
PC;SSD2;write;4096;1;4;21;0.4388;1.015;2.543
PC;SSD2;write;4096;1;4;22;0.439;0.976;2.541
PC;SSD2;write;4096;1;4;23;0.4388;0.961;2.542
PC;SSD2;write;4096;1;4;24;0.4387;0.892;2.54
PC;SSD2;write;4096;1;4;25;0.4387;0.959;2.543
PC;SSD2;write;4096;1;4;26;0.4391;0.95;2.542
PC;SSD2;write;4096;1;4;27;0.4391;0.943;2.542
PC;SSD2;write;4096;1;4;28;0.4388;0.964;2.543
PC;SSD2;write;4096;1;4;29;0.4392;0.893;2.539
PC;SSD2;write;4096;1;4;30;0.439;0.955;2.542
PC;SSD2;write;4096;1;4;31;0.4387;0.969;2.543
PC;SSD2;write;4096;1;4;32;0.4389;0.931;2.541
PC;SSD2;write;4096;1;4;33;0.4382;1.394;2.543
PC;SSD2;write;4096;1;4;34;0.4389;0.961;2.541
PC;SSD2;write;4096;1;4;35;0.4388;1.008;2.543
PC;SSD2;write;4096;1;4;36;0.4382;1.006;2.543
PC;SSD2;write;4096;1;4;37;0.4379;1.005;2.542
PC;SSD2;write;4096;1;4;38;0.4391;1.01;2.543
PC;SSD2;write;4096;1;4;39;0.4388;0.985;2.539
PC;SSD2;write;4096;1;4;40;0.4382;1.005;2.543
PC;SSD2;write;4096;1;4;41;0.4386;1.005;2.541
PC;SSD2;write;4096;1;4;42;0.4386;1.007;2.542
PC;SSD2;write;4096;1;4;43;0.4387;0.961;2.541
PC;SSD2;write;4096;1;4;44;0.4381;0.908;2.539
PC;SSD2;write;4096;1;4;45;0.4383;0.948;2.542
PC;SSD2;write;4096;1;4;46;0.4386;0.946;2.542
PC;SSD2;write;4096;1;4;47;0.4381;0.949;2.543
PC;SSD2;write;4096;1;4;48;0.439;1.147;2.543
PC;SSD2;write;4096;1;4;49;0.4385;0.892;2.54
PC;SSD2;write;4096;1;4;50;0.4386;0.953;2.541
PC;SSD2;write;4096;1;4;51;0.4387;0.957;2.542
PC;SSD2;write;4096;1;4;52;0.4384;0.886;2.537
PC;SSD2;write;4096;1;4;53;0.4382;1.512;2.544
PC;SSD2;write;4096;1;4;54;0.4382;1.025;2.54
PC;SSD2;write;4096;1;4;55;0.4382;1.015;2.542
PC;SSD2;write;4096;1;4;56;0.4384;1.015;2.542
PC;SSD2;write;4096;1;4;57;0.4386;0.945;2.541
PC;SSD2;write;4096;1;4;58;0.4387;1.02;2.542
PC;SSD2;write;4096;1;4;59;0.4382;1.011;2.542
PC;SSD2;write;4096;1;4;60;0.4387;0.994;2.543
PC;SSD2;write;4096;1;4;61;0.4386;0.957;2.543
PC;SSD2;write;4096;1;4;62;0.4386;0.949;2.542
PC;SSD2;write;4096;1;4;63;0.4386;0.887;2.539
PC;SSD2;write;4096;1;4;64;0.4382;0.894;2.54
PC;SSD2;write;4096;1;4;65;0.4392;1.003;2.541
PC;SSD2;write;4096;1;4;66;0.4386;1.01;2.542
PC;SSD2;write;4096;1;4;67;0.4385;1.002;2.542
PC;SSD2;write;4096;1;4;68;0.4389;1.016;2.543
PC;SSD2;write;4096;1;4;69;0.4393;0.944;2.54
PC;SSD2;write;4096;1;4;70;0.4386;1.007;2.544
PC;SSD2;write;4096;1;4;71;0.4386;0.954;2.543
PC;SSD2;write;4096;1;4;72;0.439;0.889;2.54
PC;SSD2;write;4096;1;4;73;0.4389;0.949;2.542
PC;SSD2;write;4096;1;4;74;0.4385;0.927;2.54
PC;SSD2;write;4096;1;4;75;0.4387;0.886;2.538
PC;SSD2;write;4096;1;4;76;0.4388;0.947;2.542
PC;SSD2;write;4096;1;4;77;0.4383;1.032;2.539
PC;SSD2;write;4096;1;4;78;0.4386;1.006;2.542
PC;SSD2;write;4096;1;4;79;0.4384;1.02;2.541
PC;SSD2;write;4096;1;4;80;0.4387;0.948;2.537
PC;SSD2;write;4096;1;4;81;0.4385;0.963;2.542
PC;SSD2;write;4096;1;4;82;0.4389;0.963;2.543
