measurement;rms3
1;2.47
2;2.473
3;2.47
4;2.47
5;2.47
6;2.472
7;2.47
8;2.48
9;2.48
10;2.48
11;2.471
12;2.47
13;2.474
14;2.473
15;2.47
16;2.473
17;2.474
18;2.473
19;2.47
20;2.47
21;2.47
22;2.47
23;2.471
24;2.47
25;2.47
26;2.47
27;2.473
28;2.472
29;2.47
30;2.472
31;2.473
32;2.473
33;2.471
34;2.47
35;2.47
36;2.47
37;2.47
38;2.472
39;2.472
40;2.473
41;2.472
42;2.47
43;2.47
44;2.47
45;2.472
46;2.472
47;2.47
48;2.48
49;2.48
50;2.47
51;2.47
52;2.47
53;2.48
54;2.472
55;2.47
56;2.472
57;2.473
58;2.472
59;2.473
60;2.47
61;2.472
62;2.47
63;2.47
64;2.473
65;2.47
66;2.47
67;2.47
68;2.471
69;2.47
70;2.471
71;2.473
72;2.472
73;2.47
74;2.473
75;2.473
76;2.47
77;2.474
78;2.471
79;2.473
80;2.474
81;2.472
82;2.473
83;2.47
84;2.472
85;2.474
86;2.48
87;2.47
88;2.47
89;2.472
90;2.47
91;2.474
92;2.472
93;2.47
94;2.47
95;2.473
96;2.48
97;2.47
98;2.47
99;2.474
100;2.47
101;2.472
102;2.47
103;2.47
104;2.47
105;2.47
106;2.47
107;2.472
108;2.47
109;2.47
110;2.472
111;2.473
112;2.472
113;2.472
114;2.471
115;2.47
116;2.472
117;2.47
118;2.47
119;2.473
120;2.47
121;2.473
122;2.47
123;2.472
124;2.472
125;2.47
126;2.48
127;2.472
128;2.472
129;2.472
130;2.47
131;2.47
132;2.471
133;2.47
134;2.471
135;2.469
136;2.47
137;2.472
138;2.48
139;2.473
140;2.47
141;2.47
142;2.473
143;2.472
144;2.47
145;2.472
146;2.47
147;2.47
148;2.47
149;2.47
150;2.472
151;2.471
152;2.47
153;2.473
154;2.472
155;2.47
156;2.471
157;2.472
158;2.472
159;2.473
160;2.47
161;2.47
162;2.47
163;2.472
164;2.47
165;2.473
166;2.472
167;2.47
168;2.472
169;2.47
170;2.472
171;2.47
172;2.47
173;2.47
174;2.48
175;2.47
176;2.47
177;2.472
178;2.472
179;2.473
180;2.471
181;2.473
182;2.47
183;2.473
184;2.473
185;2.473
186;2.472
187;2.48
188;2.472
189;2.47
190;2.47
191;2.472
192;2.48
193;2.472
194;2.472
195;2.473
196;2.472
197;2.474
198;2.47
199;2.472
200;2.47
201;2.47
202;2.48
203;2.474
204;2.473
205;2.47
206;2.472
207;2.47
208;2.471
209;2.48
210;2.473
211;2.473
212;2.47
213;2.47
214;2.47
215;2.47
216;2.47
217;2.471
218;2.472
219;2.472
220;2.473
221;2.47
222;2.47
223;2.472
224;2.47
225;2.472
226;2.47
227;2.473
228;2.472
229;2.48
230;2.473
231;2.47
232;2.473
233;2.473
234;2.47
235;2.472
236;2.471
237;2.47
238;2.473
239;2.47
240;2.472
241;2.472
242;2.48
243;2.48
244;2.47
245;2.471
246;2.472
247;2.47
248;2.48
249;2.471
250;2.473
251;2.473
252;2.472
253;2.47
254;2.47
255;2.47
256;2.47
257;2.47
258;2.471
259;2.471
260;2.472
261;2.472
262;2.47
263;2.47
264;2.472
265;2.472
266;2.47
267;2.47
268;2.471
269;2.47
270;2.471
271;2.472
272;2.47
273;2.47
274;2.48
275;2.47
276;2.47
277;2.47
278;2.472
279;2.47
280;2.473
281;2.472
282;2.47
283;2.471
284;2.471
285;2.47
286;2.47
287;2.47
288;2.47
289;2.472
290;2.47
291;2.473
292;2.47
293;2.473
294;2.471
295;2.48
296;2.473
297;2.473
298;2.47
299;2.47
300;2.472
