equipment;device;operation;reqsize;cache;repetition;dataamount;bandwidth;tempo
CUBIE;SSD1;randread;32;1;10;2297325158.4;38287360.0;60.001
CUBIE;SSD1;randread;32;1;1;2282645094.4;38041600.0;60.001
CUBIE;SSD1;randread;32;1;2;2307496345.6;38456320.0;60.001
CUBIE;SSD1;randread;32;1;3;2272054476.8;37866496.0;60.001
CUBIE;SSD1;randread;32;1;4;2301204889.6;38350848.0;60.001
CUBIE;SSD1;randread;32;1;5;2294598860.8;38242304.0;60.001
CUBIE;SSD1;randread;32;1;6;2296381440.0;38272000.0;60.001
CUBIE;SSD1;randread;32;1;7;2298268876.8;38301696.0;60.001
CUBIE;SSD1;randread;32;1;8;2302777753.6;38393856.0;60.001
CUBIE;SSD1;randread;32;1;9;2294179430.4;38234112.0;60.001
CUBIE;SSD1;randread;32;0;10;3398959104.0;56647680.0;60.001
CUBIE;SSD1;randread;32;0;1;3334261964.8;55567360.0;60.001
CUBIE;SSD1;randread;32;0;2;3350724608.0;55843840.0;60.001
CUBIE;SSD1;randread;32;0;3;3427060940.8;57115648.0;60.001
CUBIE;SSD1;randread;32;0;4;3360476364.8;56006656.0;60.0
CUBIE;SSD1;randread;32;0;5;3293157785.6;54883328.0;60.0
CUBIE;SSD1;randread;32;0;6;3365299814.4;56086528.0;60.001
CUBIE;SSD1;randread;32;0;7;3329438515.2;55487488.0;60.001
CUBIE;SSD1;randread;32;0;8;3378826444.8;56312832.0;60.0
CUBIE;SSD1;randread;32;0;9;3389836492.8;56494080.0;60.001
CUBIE;SSD1;randread;4096;1;10;8996782080.0;149891072.0;60.022
CUBIE;SSD1;randread;4096;1;1;9105833984.0;151730176.0;60.013
CUBIE;SSD1;randread;4096;1;2;8959033344.0;149246976.0;60.028
CUBIE;SSD1;randread;4096;1;3;9172942848.0;152856576.0;60.01
CUBIE;SSD1;randread;4096;1;4;9227468800.0;153785344.0;60.002
CUBIE;SSD1;randread;4096;1;5;8988393472.0;149773312.0;60.013
CUBIE;SSD1;randread;4096;1;6;9160359936.0;152613888.0;60.023
CUBIE;SSD1;randread;4096;1;7;9093251072.0;151507968.0;60.018
CUBIE;SSD1;randread;4096;1;8;9097445376.0;151620608.0;60.001
CUBIE;SSD1;randread;4096;1;9;9143582720.0;152382464.0;60.004
CUBIE;SSD1;randread;4096;0;10;8619294720.0;143651840.0;60.001
CUBIE;SSD1;randread;4096;0;1;8719958016.0;145291264.0;60.017
CUBIE;SSD1;randread;4096;0;2;8749318144.0;145777664.0;60.018
CUBIE;SSD1;randread;4096;0;3;8694792192.0;144878592.0;60.014
CUBIE;SSD1;randread;4096;0;4;8682209280.0;144676864.0;60.011
CUBIE;SSD1;randread;4096;0;5;8598323200.0;143283200.0;60.009
CUBIE;SSD1;randread;4096;0;6;8652849152.0;144180224.0;60.014
CUBIE;SSD1;randread;4096;0;7;8640266240.0;143934464.0;60.029
CUBIE;SSD1;randread;4096;0;8;8808038400.0;146790400.0;60.004
CUBIE;SSD1;randread;4096;0;9;8736735232.0;145585152.0;60.011
CUBIE;SSD1;randwrite;32;1;10;2288202547.2;38133760.0;60.001
CUBIE;SSD1;randwrite;32;1;1;2284951961.6;38056960.0;60.063
CUBIE;SSD1;randwrite;32;1;2;2289041408.0;38104064.0;60.072
CUBIE;SSD1;randwrite;32;1;3;2287258828.8;38078464.0;60.064
CUBIE;SSD1;randwrite;32;1;4;2292711424.0;38209536.0;60.001
CUBIE;SSD1;randwrite;32;1;5;2292291993.6;38093824.0;60.196
CUBIE;SSD1;randwrite;32;1;6;2293235712.0;38193152.0;60.043
CUBIE;SSD1;randwrite;32;1;7;2285161676.8;38075392.0;60.015
CUBIE;SSD1;randwrite;32;1;8;2290089984.0;38112256.0;60.087
CUBIE;SSD1;randwrite;32;1;9;2289880268.8;38111232.0;60.081
CUBIE;SSD1;randwrite;32;0;10;1568145408.0;26133504.0;60.001
CUBIE;SSD1;randwrite;32;0;1;1569823129.6;26162176.0;60.001
CUBIE;SSD1;randwrite;32;0;2;1573493145.6;26222592.0;60.001
CUBIE;SSD1;randwrite;32;0;3;1567621120.0;26121216.0;60.011
CUBIE;SSD1;randwrite;32;0;4;1571395993.6;26186752.0;60.002
CUBIE;SSD1;randwrite;32;0;5;1574646579.2;26242048.0;60.001
CUBIE;SSD1;randwrite;32;0;6;1581776896.0;26356736.0;60.01
CUBIE;SSD1;randwrite;32;0;7;1562273382.4;26036224.0;60.001
CUBIE;SSD1;randwrite;32;0;8;1587124633.6;26449920.0;60.0
CUBIE;SSD1;randwrite;32;0;9;1570137702.4;26167296.0;60.001
CUBIE;SSD1;randwrite;4096;1;10;2319450112.0;38517760.0;60.217
CUBIE;SSD1;randwrite;4096;1;1;2315255808.0;38563840.0;60.036
CUBIE;SSD1;randwrite;4096;1;2;2319450112.0;38592512.0;60.101
CUBIE;SSD1;randwrite;4096;1;3;2319450112.0;38653952.0;60.004
CUBIE;SSD1;randwrite;4096;1;4;2315255808.0;38544384.0;60.066
CUBIE;SSD1;randwrite;4096;1;5;2311061504.0;38516736.0;60.001
CUBIE;SSD1;randwrite;4096;1;6;2315255808.0;38562816.0;60.037
CUBIE;SSD1;randwrite;4096;1;7;2319450112.0;38546432.0;60.172
CUBIE;SSD1;randwrite;4096;1;8;2315255808.0;38513664.0;60.115
CUBIE;SSD1;randwrite;4096;1;9;2319450112.0;38574080.0;60.129
CUBIE;SSD1;randwrite;4096;0;10;2168455168.0;36101120.0;60.065
CUBIE;SSD1;randwrite;4096;0;1;2168455168.0;36104192.0;60.06
CUBIE;SSD1;randwrite;4096;0;2;2164260864.0;36069376.0;60.002
CUBIE;SSD1;randwrite;4096;0;3;2160066560.0;35998720.0;60.003
CUBIE;SSD1;randwrite;4096;0;4;2164260864.0;36033536.0;60.062
CUBIE;SSD1;randwrite;4096;0;5;2168455168.0;36096000.0;60.074
CUBIE;SSD1;randwrite;4096;0;6;2164260864.0;36019200.0;60.086
CUBIE;SSD1;randwrite;4096;0;7;2164260864.0;36019200.0;60.085
CUBIE;SSD1;randwrite;4096;0;8;2164260864.0;36034560.0;60.059
CUBIE;SSD1;randwrite;4096;0;9;2160066560.0;35968000.0;60.055
CUBIE;SSD1;read;32;1;10;7298613248.0;121639936.0;60.001
CUBIE;SSD1;read;32;1;1;7139963699.2;118995968.0;60.001
CUBIE;SSD1;read;32;1;2;7320633344.0;122007552.0;60.001
CUBIE;SSD1;read;32;1;3;7075581132.8;117922816.0;60.001
CUBIE;SSD1;read;32;1;4;7282045747.2;121365504.0;60.0
CUBIE;SSD1;read;32;1;5;7267365683.2;121120768.0;60.0
CUBIE;SSD1;read;32;1;6;7316229324.8;121933824.0;60.001
CUBIE;SSD1;read;32;1;7;7342653440.0;122373120.0;60.001
CUBIE;SSD1;read;32;1;8;7636359577.6;127267840.0;60.001
CUBIE;SSD1;read;32;1;9;7201095680.0;119968768.0;60.024
CUBIE;SSD1;read;32;0;10;4138100326.4;68961280.0;60.0
CUBIE;SSD1;read;32;0;1;4109683916.8;68492288.0;60.001
CUBIE;SSD1;read;32;0;2;4149949235.2;69163008.0;60.001
CUBIE;SSD1;read;32;0;3;4150578380.8;69174272.0;60.001
CUBIE;SSD1;read;32;0;4;4174800486.4;69576704.0;60.001
CUBIE;SSD1;read;32;0;5;4154248396.8;69234688.0;60.001
CUBIE;SSD1;read;32;0;6;4167145881.6;69465088.0;60.001
CUBIE;SSD1;read;32;0;7;4164314726.4;69402624.0;60.001
CUBIE;SSD1;read;32;0;8;4118177382.4;68628480.0;60.001
CUBIE;SSD1;read;32;0;9;4151836672.0;69194752.0;60.001
CUBIE;SSD1;read;4096;1;10;7855931392.0;130875392.0;60.026
