equipment;device;operation;reqsize;cache;repetition;dataamount;bandwidth;tempo
PC;HHD1;randread;32;1;10;110985216.0;1849344.0;60.003
PC;HHD1;randread;32;1;1;203128832.0;3384320.0;60.006
PC;HHD1;randread;32;1;2;170393600.0;2839552.0;60.001
PC;HHD1;randread;32;1;3;214630400.0;3575808.0;60.011
PC;HHD1;randread;32;1;4;202080256.0;3366912.0;60.008
PC;HHD1;randread;32;1;5;213254144.0;3553280.0;60.002
PC;HHD1;randread;32;1;6;135168000.0;2251776.0;60.008
PC;HHD1;randread;32;1;7;143228928.0;2386944.0;60.004
PC;HHD1;randread;32;1;8;200540160.0;3341312.0;60.003
PC;HHD1;randread;32;1;9;203554816.0;3391488.0;60.006
PC;HHD1;randread;32;0;10;146472960.0;2440192.0;60.012
PC;HHD1;randread;32;0;1;155942912.0;2597888.0;60.006
PC;HHD1;randread;32;0;2;158597120.0;2642944.0;60.005
PC;HHD1;randread;32;0;3;154763264.0;2578432.0;60.004
PC;HHD1;randread;32;0;4;152469504.0;2540544.0;60.003
PC;HHD1;randread;32;0;5;155713536.0;2594816.0;60.008
PC;HHD1;randread;32;0;6;152797184.0;2545664.0;60.001
PC;HHD1;randread;32;0;7;158498816.0;2640896.0;60.005
PC;HHD1;randread;32;0;8;157188096.0;2619392.0;60.003
PC;HHD1;randread;32;0;9;148570112.0;2475008.0;60.012
PC;HHD1;randread;4096;1;10;1388314624.0;23133184.0;60.012
PC;HHD1;randread;4096;1;1;1379926016.0;22931456.0;60.175
PC;HHD1;randread;4096;1;2;1392508928.0;23197696.0;60.026
PC;HHD1;randread;4096;1;3;1350565888.0;22438912.0;60.188
PC;HHD1;randread;4096;1;4;1388314624.0;23114752.0;60.06
PC;HHD1;randread;4096;1;5;1358954496.0;22618112.0;60.081
PC;HHD1;randread;4096;1;6;1396703232.0;23227392.0;60.13
PC;HHD1;randread;4096;1;7;1400897536.0;23298048.0;60.129
PC;HHD1;randread;4096;1;8;1321205760.0;21994496.0;60.068
PC;HHD1;randread;4096;1;9;1350565888.0;22496256.0;60.034
PC;HHD1;randread;4096;0;10;1744830464.0;29033472.0;60.096
PC;HHD1;randread;4096;0;1;1740636160.0;28960768.0;60.103
PC;HHD1;randread;4096;0;2;1749024768.0;29125632.0;60.049
PC;HHD1;randread;4096;0;3;1702887424.0;28350464.0;60.065
PC;HHD1;randread;4096;0;4;1744830464.0;29075456.0;60.009
PC;HHD1;randread;4096;0;5;1702887424.0;28359680.0;60.044
PC;HHD1;randread;4096;0;6;1723858944.0;28673024.0;60.12
PC;HHD1;randread;4096;0;7;1769996288.0;29433856.0;60.133
PC;HHD1;randread;4096;0;8;1753219072.0;29172736.0;60.097
PC;HHD1;randread;4096;0;9;1749024768.0;29136896.0;60.026
PC;HHD1;randwrite;32;1;10;5004328960.0;77946880.0;64.201
PC;HHD1;randwrite;32;1;1;5197371801.6;81394688.0;63.853
PC;HHD1;randwrite;32;1;2;5111178854.4;85178368.0;60.004
PC;HHD1;randwrite;32;1;3;3838627020.8;63024128.0;60.905
PC;HHD1;randwrite;32;1;4;5168955392.0;81110016.0;63.727
PC;HHD1;randwrite;32;1;5;5152912179.2;81434624.0;63.275
PC;HHD1;randwrite;32;1;6;4991012044.8;77445120.0;64.445
PC;HHD1;randwrite;32;1;7;4544318668.8;73577472.0;61.762
PC;HHD1;randwrite;32;1;8;5087585894.4;79563776.0;63.943
PC;HHD1;randwrite;32;1;9;5212576153.6;81617920.0;63.876
PC;HHD1;randwrite;32;0;10;286457856.0;4772864.0;60.016
PC;HHD1;randwrite;32;0;1;254214144.0;4235264.0;60.015
PC;HHD1;randwrite;32;0;2;216891392.0;3611648.0;60.05
PC;HHD1;randwrite;32;0;3;248872960.0;4144128.0;60.051
PC;HHD1;randwrite;32;0;4;254115840.0;4234240.0;60.005
PC;HHD1;randwrite;32;0;5;254410752.0;4239360.0;60.01
PC;HHD1;randwrite;32;0;6;231407616.0;3855360.0;60.017
PC;HHD1;randwrite;32;0;7;242941952.0;4047872.0;60.013
PC;HHD1;randwrite;32;0;8;241827840.0;4029440.0;60.014
PC;HHD1;randwrite;32;0;9;286982144.0;4782080.0;60.003
PC;HHD1;randwrite;4096;1;10;6153043968.0;102543360.0;60.004
PC;HHD1;randwrite;4096;1;1;6161432576.0;97971200.0;62.89
PC;HHD1;randwrite;4096;1;2;5624561664.0;88325120.0;63.68
PC;HHD1;randwrite;4096;1;3;4647288832.0;75332608.0;61.69
PC;HHD1;randwrite;4096;1;4;5985271808.0;97075200.0;61.656
PC;HHD1;randwrite;4096;1;5;6325010432.0;105370624.0;60.026
PC;HHD1;randwrite;4096;1;6;6165626880.0;102723584.0;60.021
PC;HHD1;randwrite;4096;1;7;5502926848.0;91711488.0;60.002
PC;HHD1;randwrite;4096;1;8;5909774336.0;96618496.0;61.166
PC;HHD1;randwrite;4096;1;9;6115295232.0;101915648.0;60.003
PC;HHD1;randwrite;4096;0;10;3376414720.0;56227840.0;60.048
PC;HHD1;randwrite;4096;0;1;3422552064.0;56973312.0;60.072
PC;HHD1;randwrite;4096;0;2;3414163456.0;56900608.0;60.002
PC;HHD1;randwrite;4096;0;3;3430940672.0;56699904.0;60.51
PC;HHD1;randwrite;4096;0;4;3468689408.0;57722880.0;60.092
PC;HHD1;randwrite;4096;0;5;3380609024.0;56240128.0;60.11
PC;HHD1;randwrite;4096;0;6;3409969152.0;56776704.0;60.059
PC;HHD1;randwrite;4096;0;7;3489660928.0;57678848.0;60.501
PC;HHD1;randwrite;4096;0;8;3468689408.0;57749504.0;60.064
