equipment;device;operation;reqsize;cache;repetition;dataamount;bandwidth;tempo
PC;SSD2;randread;32;1;10;6867438796.8;114453504.0;60.001
PC;SSD2;randread;32;1;1;6876351692.8;114601984.0;60.001
PC;SSD2;randread;32;1;2;7016756019.2;116941824.0;60.001
PC;SSD2;randread;32;1;3;6914624716.8;115239936.0;60.001
PC;SSD2;randread;32;1;4;6977329561.6;116300800.0;60.001
PC;SSD2;randread;32;1;5;6876771123.2;114610176.0;60.001
PC;SSD2;randread;32;1;6;6898162073.6;114965504.0;60.001
PC;SSD2;randread;32;1;7;6865027072.0;114414592.0;60.001
PC;SSD2;randread;32;1;8;6852234444.8;114200576.0;60.001
PC;SSD2;randread;32;1;9;6955624038.4;115922944.0;60.001
PC;SSD2;randread;32;0;10;7065409945.6;117769216.0;60.001
PC;SSD2;randread;32;0;1;7028709785.6;117142528.0;60.001
PC;SSD2;randread;32;0;2;7011198566.4;116844544.0;60.001
PC;SSD2;randread;32;0;3;7089736908.8;118159360.0;60.001
PC;SSD2;randread;32;0;4;6962125209.6;116031488.0;60.001
PC;SSD2;randread;32;0;5;7212839731.2;120210432.0;60.001
PC;SSD2;randread;32;0;6;7207596851.2;120122368.0;60.001
PC;SSD2;randread;32;0;7;7065934233.6;117762048.0;60.001
PC;SSD2;randread;32;0;8;7197006233.6;119946240.0;60.001
PC;SSD2;randread;32;0;9;7217453465.6;120302592.0;60.001
PC;SSD2;randread;4096;1;10;19264438272.0;321019904.0;60.01
PC;SSD2;randread;4096;1;1;19629342720.0;327139328.0;60.003
PC;SSD2;randread;4096;1;2;19381878784.0;322950144.0;60.015
PC;SSD2;randread;4096;1;3;19214106624.0;320164864.0;60.013
PC;SSD2;randread;4096;1;4;19448987648.0;324111360.0;60.007
PC;SSD2;randread;4096;1;5;19474153472.0;324531200.0;60.007
PC;SSD2;randread;4096;1;6;19369295872.0;322772992.0;60.009
PC;SSD2;randread;4096;1;7;19297992704.0;321627136.0;60.001
PC;SSD2;randread;4096;1;8;18870173696.0;314439680.0;60.012
PC;SSD2;randread;4096;1;9;19272826880.0;321154048.0;60.011
PC;SSD2;randread;4096;0;10;21474836480.0;497700864.0;43.148
PC;SSD2;randread;4096;0;1;21474836480.0;505230336.0;42.505
PC;SSD2;randread;4096;0;2;21474836480.0;511841280.0;41.956
PC;SSD2;randread;4096;0;3;21474836480.0;493855744.0;43.484
PC;SSD2;randread;4096;0;4;21474836480.0;493378560.0;43.526
PC;SSD2;randread;4096;0;5;21474836480.0;506852352.0;42.369
PC;SSD2;randread;4096;0;6;21474836480.0;502381568.0;42.746
PC;SSD2;randread;4096;0;7;21474836480.0;485657600.0;44.218
